Ford Mustang,Love And The Beat vol.1,Serge Gainsbourg,162.6ø
Sweet Sixteen,Live At The Apollo,B.B. King,445.5ø
All Over Again,Live At The Apollo,B.B. King,452.7ø
Tramp,Sittin' On the Dock of the Bay,Otis Redding,171.8ø
Direct Me,Otis Redding - Stax Profiles,Otis Redding,139.7ø
Champagne And Wine,Otis Redding - Stax Profiles,Otis Redding,185.2ø
(Sittin' On) The Dock Of The Bay,Remember Me,Otis Redding,162.5ø
(I Can't Get No) Satisfaction,Otis Redding - Stax Profiles,Otis Redding,174.9ø
Knock On Wood,Vanguard Visionaries,Buddy Guy,288.0ø
24 Hours Of The Day,My Time After Awhile,Buddy Guy,166.7ø
The Entertaining Of A Shy Girl (2005 Digital Remaster),The Hurdy Gurdy Man,Donovan,102.6ø
Hi It's Been A Long Time (2005 Digital Remaster),The Hurdy Gurdy Man,Donovan,158.5ø
Aye My Love (Mono) (2005 Digital Remaster),The Hurdy Gurdy Man,Donovan,128.2ø
Happy Birthday To You (LP Version),Head,The Monkees,62.1ø
Ditty Diego-War Chant #2 (LP Version),Head,The Monkees,270.8ø
Daddy's Song,Head,The Monkees,207.7ø
You Don't Love Me  (LP Version),Doin' Our Thing,Booker T. & The MG's,169.4ø
La La Means I Love You,Soul Limbo,Booker T & The MG's,158.4ø
Saturday Night At The Movies,This Magic Moment & Other Favorites (Digitally Remastered),The Drifters,134.0ø
Take Time to Know Her,Warm & Tender,Percy Sledge,180.8ø
Sudden Stop (LP Version),Take Time To Know Her,Percy Sledge,167.4ø
Sudden Stop,Percy Sledge Live,Percy Sledge,196.3ø
Out Of Left Field,20 Of His Best,Percy Sledge,206.2ø
Cover Me,The Best Of Percy Sledge,Percy Sledge,167.6ø
Ave Maria,The Christmas Album,Perry Como,285.2ø
M'Lady,Sly & The Family Stone: The Woodstock Experience,Sly & The Family Stone,466.4ø
Higher,Dance To The Music,Sly & The Family Stone,173.3ø
Dance To The Music,Dance To The Music,Sly & The Family Stone,177.4ø
Your Wall's Too High,Gold,Steppenwolf,344.5ø
Tighten Up Your Wig,Gold,Steppenwolf,186.8ø
The Pusher,Live Steppenwolf,Steppenwolf,363.2ø
The Ostrich,Gold,Steppenwolf,342.3ø
Take What You Need,Steppenwolf,Steppenwolf,211.0ø
Sookie Sookie,Steppenwolf,Steppenwolf,196.3ø
Magic Carpet Ride,Live Steppenwolf,Steppenwolf,259.6ø
Hoochie Coochie Man,Steppenwolf,Steppenwolf,315.1ø
Everybody's Next One,Gold,Steppenwolf,177.5ø
Desperation,Born To Be Wild (Best Of....),Steppenwolf,345.3ø
Born To Be Wild,Live Steppenwolf,Steppenwolf,346.4ø
Berry Rides Again,Steppenwolf,Steppenwolf,172.4ø
A Girl I Knew,Steppenwolf,Steppenwolf,162.7ø
The Right Somebody To Love,Gold,The Mamas & The Papas,40.7ø
Safe In My Garden,Creeque Alley: The History Of The Mamas And The Papas,The Mamas & The Papas,193.8ø
Nothing's Too Good For My Little Girl,Gold,The Mamas & The Papas,188.0ø
Midnight Voyage,Classic,The Mamas & The Papas,193.0ø
For The Love Of Ivy,Creeque Alley: The History Of The Mamas And The Papas,The Mamas & The Papas,223.8ø
Dream A Little Dream Of Me,Music For Romancing,The Mamas & The Papas,193.3ø
Spooky (LP Version),Take Time To Know Her,Percy Sledge,175.5ø
Spooky,Greatest hits,Percy Sledge,191.9ø
It's All Wrong But It's Alright (LP Version),Take Time To Know Her,Percy Sledge,179.0ø
I Love Everything About You (LP Version),Take Time To Know Her,Percy Sledge,140.9ø
High Cost Of Leaving (LP Version),Take Time To Know Her,Percy Sledge,183.5ø
Come Softly To Me (LP Version),Take Time To Know Her,Percy Sledge,175.9ø
Baby Help Me,The Very Best Of,Percy Sledge,150.0ø
Love Power,Sings Classic Soul,Dusty Springfield,127.9ø
I Close My Eyes And Count To Ten,LIVE AT THE ALBERT,Dusty Springfield,237.7ø
I Can't Give Back The Love I Feel For You,Sings Classic Soul,Dusty Springfield,149.7ø
Slim Jenkins' Place,The Very Best Of Booker T. & The MG's,Booker T & The MG's,151.8ø
Born Under A Bad Sign,Soul Limbo,Booker T & The MG's,186.6ø
To Kingdom Come (2000 Digital Remaster),Music From Big Pink,The Band,202.3ø
The Weight,The Weight,The Band,275.1ø
Tears Of Rage (Alternate Take) (2000 Digital Remaster),Music From Big Pink,The Band,330.3ø
Orange Juice Blues (Blues For Breakfast)(Outtake Demo) (2000 Digital Remaster),Music From Big Pink,The Band,218.2ø
Long Distance Operator (Outtake) (2000 Digital Remaster),Music From Big Pink,The Band,236.5ø
Key To The Highway (Outtake) (2000 Digital Remaster),Music From Big Pink,The Band,147.3ø
If I Lose (Outtake) (2000 Digital Remaster),Music From Big Pink,The Band,148.6ø
Caledonia Mission (2000 Digital Remaster),Music From Big Pink,The Band,178.5ø
Sunday,Sings Doctor Doolittle & Born Walden Robert Cassotto,Bobby Darin,209.9ø
If I Didn't Have A Girl Like You (LP Version),I Thank You,Sam & Dave,266.3ø
Hold On_ I'm Coming,I Thank You,Sam & Dave,159.0ø
Ain't That A Lot Of Love,I Thank You,Sam & Dave,161.6ø
Dreamy,Windy,Astrud Gilberto,122.7ø
When The Catfish Is In Bloom,The Great Santa Barbara Oil Slick: Live at The Matrix San Francisco_ California 1968/1969,John Fahey,476.6ø
Lonesome Valley,The Voice Of The Turtle,John Fahey,102.0ø
Lion,The Great Santa Barbara Oil Slick: Live at The Matrix San Francisco_ California 1968/1969,John Fahey,315.0ø
Fare Forward Voyagers_ 1965,The Yellow Princess,John Fahey,293.5ø
Commemorative Transfiguration And Communion At Magruder Park,The Yellow Princess,John Fahey,360.3ø
Train,The Voice Of The Turtle,John Fahey,104.9ø
The Singing Bridge Of Memphis_ Tennessee (2006 Digital remaster),The Yellow Princess,John Fahey,172.9ø
The John Fahey Sampler_ Themes And Variations,The Yellow Princess,John Fahey,523.4ø
Lo How A Rose E'er Blooming,Christmas Album,John Fahey,267.5ø
Dance Of The Inhabitants Of The Invisible City Of Bladensburg,String Alchemy: From Eclectic To Electric,John Fahey,247.7ø
Bottleneck Blues,The Voice Of The Turtle,John Fahey,183.6ø
A Raga Called Pat,The Voice Of The Turtle,John Fahey,543.4ø
I Thank You,Karaoke: 60's Big Hits - Singing to the Hits,Sam & Dave,160.4ø
from Portrait Of The Artist As A Young Man,Baptism,Joan Baez,134.0ø
Leaving Trunk,Taj'S Blues,Taj Mahal,290.0ø
Everybody's Got To Change Sometime,Taj Mahal,Taj Mahal,176.8ø
E Z Rider,Taj Mahal,Taj Mahal,184.4ø
Dreams Of The Everyday Housewife (Digitally Remastered 01),Wichita Lineman,Glen Campbell,155.1ø
Dreams Of The Everyday Housewife,Live,Glen Campbell,127.1ø
You Ain't Going Nowhere,Most famous Hits,The Byrds,176.2ø
Wasn't Born To Follow,The Notorious Byrd Brothers,The Byrds,123.8ø
The Christian Life,Sweetheart Of The Rodeo (Legacy Edition),The Byrds,185.9ø
Life In Prison,Sweetheart Of The Rodeo (Legacy Edition),The Byrds,195.6ø
Hickory Wind,Mojo Presents... The Byrds,The Byrds,214.2ø
Goin' Back,The Notorious Byrd Brothers,The Byrds,205.8ø
Pata pata,Salsa les titres essentiels !,Tito Puente,194.8ø
Willow Weep For Me,Soul Limbo,Booker T & The MG's,223.2ø
Soul Limbo,Soul Limbo,Booker T & The MG's,142.1ø
Ode To Billy Joe (LP Version),Doin' Our Thing,Booker T. & The MG's,242.3ø
Never My Love (LP Version),Doin' Our Thing,Booker T. & The MG's,167.1ø
I Can Dig It  (LP Version),Doin' Our Thing,Booker T. & The MG's,162.9ø
Heads Or Tails,Soul Limbo,Booker T & The MG's,151.8ø
Foxy Lady,Soul Limbo,Booker T & The MG's,195.2ø
Doin' Our Thing (LP Version),Doin' Our Thing,Booker T. & The MG's,241.8ø
Booker-Loo,The Very Best Of Booker T. & The MG's,Booker T & The MG's,146.7ø
Blue On Green   (LP Version),Doin' Our Thing,Booker T. & The MG's,148.4ø
Be Young_ Be Foolish_ Be Happy,Soul Limbo,Booker T & The MG's,181.3ø
(Sweet Sweet Baby) Since You've Been Gone,Soul Limbo,Booker T & The MG's,175.0ø
Spoken Word / Happiness Stan / Spoken Word,Ogdens' Nut Gone Flake,Small Faces,177.9ø
The Sun Is A Very Magic Fellow (2005 Digital Remaster),The Hurdy Gurdy Man,Donovan,167.9ø
The River Song (2005 Digital Remaster),The Hurdy Gurdy Man,Donovan,136.7ø
Jennifer Juniper,Colours,Donovan,140.1ø
Hurdy Gurdy Man,Original Hits - Sixties,Donovan,194.8ø
Get Thy Bearings (2005 Digital Remaster),The Hurdy Gurdy Man,Donovan,173.8ø
As I Recall It (2005 Digital Remaster),The Hurdy Gurdy Man,Donovan,130.1ø
A Sunny Day (2005 Digital Remaster),The Hurdy Gurdy Man,Donovan,118.2ø
Walk On By,A Night To Remember,Johnny Mathis,182.5ø
The Look Of Love,The Essential Johnny Mathis,Johnny Mathis,222.6ø
You've Forgotten Me,Dance To The Music,Sly & The Family Stone,140.4ø
You're My Only Love,Dance To The Music,Sly & The Family Stone,136.6ø
Yellow Moon,Dance To The Music,Sly & The Family Stone,166.7ø
Uncle Same Needs You My Friend,Dance To The Music,Sly & The Family Stone,162.1ø
Ride the Rhythm,Dance To The Music,Sly & The Family Stone,167.4ø
Oh What A Night,Dance To The Music,Sly & The Family Stone,139.5ø
Nerves,Dance To The Music,Sly & The Family Stone,151.6ø
Love City,Sly & The Family Stone: The Woodstock Experience,Sly & The Family Stone,364.0ø
Long Time Alone,Dance To The Music,Sly & The Family Stone,185.9ø
Jane Is A Groupee,Life,Sly & The Family Stone,170.2ø
Into My Own Thing,Life,Sly & The Family Stone,134.5ø
I'll Never Fall in Love Again,Dance to the Music,Sly & The Family Stone,205.6ø
Help Me With My Broken Heart,Dance To The Music,Sly & The Family Stone,170.7ø
Heavenly Angel,Dance To The Music,Sly & The Family Stone,175.0ø
Harmony,Life,Sly & The Family Stone,174.2ø
Fun,Anthology,Sly & The Family Stone,142.5ø
Dynamite!,Life,Sly & The Family Stone,132.4ø
Color Me True,Dance To The Music,Sly & The Family Stone,188.3ø
Chicken,Life,Sly & The Family Stone,134.5ø
I Am A Pilgrim,Sweetheart Of The Rodeo (Legacy Edition),The Byrds,224.5ø
Trem Fantasma,Os Mutantes,Os Mutantes,198.6ø
Tempo No Tempo (Once Was A Time I Thought),Os Mutantes,Os Mutantes,108.9ø
Senhor F,Os Mutantes,Os Mutantes,156.0ø
Panis Et Circenses,De Volta Ao Planeta Dos Mutantes,Os Mutantes,132.4ø
Bat Macumba,Os Mutantes,Os Mutantes,190.5ø
Baby,Os Mutantes,Os Mutantes,182.3ø
Ave Gengis Khan,Os Mutantes,Os Mutantes,231.3ø
A Minha Menina,Os Mutantes,Os Mutantes,285.0ø
Jingle Jangle Jungle,Sings Doctor Doolittle & Born Walden Robert Cassotto,Bobby Darin,176.6ø
I Can See The Wind,Sings Doctor Doolittle & Born Walden Robert Cassotto,Bobby Darin,188.0ø
Change,Sings Doctor Doolittle & Born Walden Robert Cassotto,Bobby Darin,144.4ø
One For My Baby (And One More For The Road),Rawls Sings Sinatra,Lou Rawls,272.6ø
Down Here On The Ground,Natural Man / Classic Lou,Lou Rawls,190.3ø
World In A Jug,On The Road Again,Canned Heat,206.3ø
Turpentine Moan,Canned Heat/Boogie With Canned Heat,Canned Heat,175.3ø
My Crime,On The Road Again,Canned Heat,240.0ø
Going Up The Country,Boogie Up The Country,Canned Heat,190.9ø
Boogie Music,The Best Of Canned Heat,Canned Heat,180.5ø
Amphetamine Annie,The Best Of Canned Heat,Canned Heat,213.4ø
Summertime / Shantung Cabbage,Undead,Ten Years After,363.5ø
Rock You Mama,Undead,Ten Years After,226.1ø
(At The) Woodchoppers Ball,Undead,Ten Years After,472.4ø
A Coisa Mais Linda Que Existe,Gal Costa,Gal Costa,240.0ø
You Showed Me,The Turtles Present The Battle of the Bands,The Turtles,223.6ø
The Last Thing I Remember,The Turtles Present The Battle of the Bands,The Turtles,201.6ø
The Battle Of The Bands,The Turtles Present The Battle of the Bands,The Turtles,156.0ø
Surfer Dan,The Turtles Present The Battle of the Bands,The Turtles,186.0ø
Sound Asleep,The Turtles Present The Battle of the Bands,The Turtles,173.5ø
Food,The Turtles Present The Battle of the Bands,The Turtles,184.3ø
Elenore,Save The Turtles:  The Turtles Greatest Hits,The Turtles,151.5ø
Earth Anthem,The Turtles Present The Battle of the Bands,The Turtles,260.7ø
Buzzsaw,The Turtles Present The Battle of the Bands,The Turtles,142.2ø
Wrap It Up,Stax/Volt - The Complete Singles 1959-1968 - Volume 9,Sam & Dave,152.1ø
These Arms Of Mine (LP Version),I Thank You,Sam & Dave,191.6ø
Love Is After Me (LP Version),I Thank You,Sam & Dave,140.9ø
Everybody Got To Believe In Somebody,Definitive Soul: Sam & Dave,Sam & Dave,193.8ø
Don't Waste That Love (LP Version),I Thank You,Sam & Dave,167.5ø
Don't Turn Your Heater On,I Thank You,Sam & Dave,135.2ø
Come On In,Sweat 'N' Soul: An Anthology [1965-1971],Sam & Dave,173.0ø
