Sweet Lavalamp,Night club tropez,Sam Paglia,168.6ø
Sunrise Light,Paradisiac 01,Panaphonic vs Guanavana,292.9ø
If I Didn't Care,With A Song In My Heart  (1939 - 1944),Frank Sinatra,210.0ø
The wild vine,Lot Lorien,Lot Lorien,270.5ø
The old town,Lot Lorien,Lot Lorien,227.1ø
Stoyan si konche izvede,Lot Lorien,Lot Lorien,217.1ø
Janissar,Lot Lorien,Lot Lorien,337.4ø
Byal ravnec,Lot Lorien,Lot Lorien,368.2ø
Bulgari glava vdignali,Lot Lorien,Lot Lorien,331.6ø
Bela Dena,Lot Lorien,Lot Lorien,257.0ø
Ride to Freedom,Celtic Heart: The Story of Tristan and Iseult,Simon Cooper,266.7ø
Something About You,A Cellarful Of Motown Volume 3,Debbie Dean,164.2ø
What Are You Waiting For,Eden's Curse,Eden's Curse,283.5ø
We All Die Young,Eden's Curse,Eden's Curse,241.7ø
The Voice Inside,Heart Breakers,Eden's Curse,296.6ø
The Bruce (Intro),Eden's Curse,Eden's Curse,119.4ø
Stronger Than The Flame,Eden's Curse,Eden's Curse,344.3ø
Judgement Day,Seven Deadly Sins - The Acoustic Sessions,Eden's Curse,328.1ø
Heaven Touch Me,Eden's Curse,Eden's Curse,326.1ø
Fly Away (Acoustic Demo) [Bonus Track],Eden's Curse,Eden's Curse,280.8ø
Fallen King,Eden's Curse,Eden's Curse,321.8ø
Eyes of the World,Seven Deadly Sins - The Acoustic Sessions,Eden's Curse,207.0ø
Eden's Curse (Acoustic Demo) [Bonus Track],Eden's Curse,Eden's Curse,317.3ø
Eden's Curse,Eden's Curse,Eden's Curse,315.0ø
Book Of Life (Intro),Eden's Curse,Eden's Curse,61.7ø
Secret Spaces,Secret and Divine Signs: The Music of Craig Urquhart,Craig Urquhart,342.2ø
Water For The Elephants,Family Dance,Dan Zanes Feat. Donald Saaf,187.0ø
Trouble Trouble,The Very Best Of The El Dorados,The El Dorados,131.6ø
Three Reasons Why,The Very Best Of The El Dorados,The El Dorados,164.4ø
There In The Night,The Very Best Of The El Dorados,The El Dorados,174.1ø
Tears On My Pillow,The Very Best Of The El Dorados,The El Dorados,143.2ø
She Don't Run Around,The Very Best Of The El Dorados,The El Dorados,151.5ø
Rock 'n' Roll's For Me,The Very Best Of The El Dorados,The El Dorados,134.3ø
Now That You've Gone,The Very Best Of The El Dorados,The El Dorados,166.8ø
My Lovin' Baby,The Very Best Of The El Dorados,The El Dorados,166.3ø
Lord Knows I Tried,The Very Best Of The El Dorados,The El Dorados,174.8ø
Little Miss Love,The Very Best Of The El Dorados,The El Dorados,170.9ø
Lights Are Low,The Very Best Of The El Dorados,The El Dorados,146.3ø
I Began To Realize,The Very Best Of The El Dorados,The El Dorados,163.1ø
Chop Ling Soon,The Very Best Of The El Dorados,The El Dorados,167.3ø
