The Black Vagabond And The Swan Of Two Heads,The Symmetry Of I_ The Circle Of O,...And Oceans,292.9,0.519,0.397,1999ø
Stained,The Symmetry Of I_ The Circle Of O,...And Oceans,235.0,0.519,0.397,1999ø
Spasms,The Symmetry Of I_ The Circle Of O,...And Oceans,185.9,0.519,0.397,1999ø
Playground,The Symmetry Of I_ The Circle Of O,...And Oceans,329.9,0.519,0.397,1999ø
Molecules,The Symmetry Of I_ The Circle Of O,...And Oceans,101.1,0.519,0.397,1999ø
Mental Traffic,The Symmetry Of I_ The Circle Of O,...And Oceans,255.7,0.519,0.397,1999ø
Injected With Silence,The Symmetry Of I_ The Circle Of O,...And Oceans,381.1,0.519,0.397,1999ø
I Wish I Was Pregnant,The Symmetry Of I_ The Circle Of O,...And Oceans,398.1,0.519,0.397,1999ø
Chess,The Symmetry Of I_ The Circle Of O,...And Oceans,95.7,0.519,0.397,1999ø
Cacophonous Ballet,The Symmetry Of I_ The Circle Of O,...And Oceans,311.5,0.519,0.397,1999ø
Baby Blue Doll - Merry Go Mind,The Symmetry Of I_ The Circle Of O,...And Oceans,389.8,0.519,0.397,1999ø
Aquarium Of Children - Ajatusten Merenpinta,The Symmetry Of I - The Circle Of O,...And Oceans,279.2,0.519,0.397,1999ø
