You're Supposed To Be My Friend,Cookies,1990s,220.8,0.661,0.381,2006ø
You Made Me Like It,Cookies,1990s,192.5,0.661,0.381,2007ø
Weed,Cookies,1990s,208.8,0.661,0.381,2007ø
Vondelpark,Kicks,1990s,228.8,0.661,0.381,2009ø
Thinking Of Not Going,Cookies,1990s,124.6,0.661,0.381,2007ø
The Kids,Kicks,1990s,154.5,0.661,0.381,2009ø
The Box,Kicks,1990s,247.7,0.661,0.381,2009ø
Switch,Cookies,1990s,131.3,0.661,0.381,2007ø
Super-Legal,See You At The Lights,1990s,211.5,0.661,0.381,2007ø
Sparks,Kicks,1990s,210.2,0.661,0.381,2009ø
Situation,Cookies,1990s,307.6,0.661,0.381,2007ø
See You At The Lights,Cookies,1990s,177.4,0.661,0.381,2007ø
Risque Pictures,Cookies,1990s,194.9,0.661,0.381,2007ø
Pollockshields,Cookies,1990s,146.2,0.661,0.381,2007ø
Our Lady Of The Flowers,You Made Me Like It,1990s,229.9,0.661,0.381,2007ø
Local Science,Kicks,1990s,214.8,0.661,0.381,2009ø
Kickstrasse,Kicks,1990s,175.1,0.242,0.381,2009ø
Giddy Up,Kicks,1990s,162.7,0.661,0.381,2009ø
Everybody Please Relax,Kicks,1990s,204.4,0.661,0.381,2009ø
Enjoying Myself,Cookies,1990s,150.6,0.661,0.381,2007ø
Diabo,See You At The Lights,1990s,444.4,0.661,0.381,2007ø
Cult Status,Cookies,1990s,178.2,0.661,0.381,2007ø
Balthazar,Kicks,1990s,237.7,0.661,0.381,2009ø
Arcade Precinct,Cookies,1990s,195.7,0.661,0.381,2007ø
59,Kicks,1990s,231.3,0.661,0.381,2009ø
