Wolf & Sheep,Notes From Underground,1997,300.4,0.713,0.454,2009ø
Water's Edge (Album Version),A Better View Of The Rising Moon,1997,260.9,0.713,0.454,2007ø
The Roads You Can Take (Album Version),A Better View Of The Rising Moon,1997,218.0,0.713,0.454,2007ø
Tennessee Song (Album Version),A Better View Of The Rising Moon,1997,218.3,0.713,0.454,2007ø
Sympathy For The Living,Notes From Underground,1997,198.3,0.713,0.454,2009ø
Patience_ Prudence (Album Version),A Better View Of The Rising Moon,1997,203.8,0.713,0.454,2007ø
Pagan Melodies,Notes From Underground,1997,332.2,0.713,0.454,2009ø
LoveLikePoetry (Album Version),A Better View Of The Rising Moon,1997,211.6,0.713,0.454,2007ø
In Your Car (Album Version),A Better View Of The Rising Moon,1997,205.9,0.713,0.454,2007ø
Hold Ur Breath,Notes From Underground,1997,333.1,0.713,0.454,2009ø
Hey Darlin' (Album Version),A Better View Of The Rising Moon,1997,210.1,0.713,0.454,2007ø
Grace (Album Version),A Better View Of The Rising Moon,1997,290.9,0.713,0.454,2007ø
Garden Of Evil (Album Version),A Better View Of The Rising Moon,1997,258.6,0.713,0.454,2007ø
Enough Is Enough (Album Version),A Better View Of The Rising Moon,1997,323.1,0.713,0.454,2007ø
Droppin' Dimes (Album Version),A Better View Of The Rising Moon,1997,241.8,0.713,0.454,2007ø
Curse Or Cure (Album Version),A Better View Of The Rising Moon,1997,163.2,0.713,0.454,2007ø
Candle,Notes From Underground,1997,295.7,0.713,0.454,2009ø
A Fruitless Year,Notes From Underground,1997,148.7,0.713,0.454,2009ø
A Fearless Heart,A Fearless Heart,1997,218.9,0.713,0.454,2009ø
#3,Notes From Underground,1997,302.8,0.713,0.454,2009ø
#2,Notes From Underground,1997,177.6,0.713,0.454,2009ø
#1,Notes From Underground,1997,242.3,0.713,0.454,2009ø
