White Widow,Ballads For Little Hyenas,Afterhours,239.6,0.683,0.504,2006ø
Thin White Line,Ballads For Little Hyenas,Afterhours,332.1,0.683,0.504,2006ø
The Ending Is The Greater,Ballads For Little Hyenas,Afterhours,179.0,0.683,0.504,2006ø
Strategie,Germi,Afterhours,241.9,0.683,0.504,1995ø
Posso Avere Il Tuo Deserto?,Germi,Afterhours,271.4,0.683,0.504,1995ø
Porno Quando Non Sei Intorno,Germi,Afterhours,182.9,0.683,0.504,1995ø
Gioia E Rivoluzione (Video Version),Cuori E Demoni,Afterhours,171.6,0.683,0.504,2004ø
Dentro Marilyn,Germi,Afterhours,344.9,0.683,0.504,1995ø
La Sottile Linea Bianca,Ballate Per Piccole Iene,Afterhours,331.1,0.683,0.475,2005ø
Vieni Dentro,Germi,Afterhours,247.5,0.683,0.431,1995ø
Sui Giovani D'Oggi Ci Scatarro Su,Hai Paura Del Buio?,Afterhours,177.5,0.683,0.431,1997ø
Sparkle,Ballads For Little Hyenas,Afterhours,245.0,0.683,0.431,2006ø
Siete Proprio Dei Pulcini,Germi,Afterhours,165.6,0.683,0.431,1995ø
Senza Finestra,Hai Paura Del Buio?,Afterhours,166.3,0.683,0.431,1997ø
Questo Pazzo Pazzo Mondo Di Tasse,Hai Paura Del Buio?,Afterhours,179.5,0.683,0.431,1997ø
Punto G,Hai Paura Del Buio?,Afterhours,344.8,0.683,0.431,1997ø
Pop (Una Canzone Pop),Germi,Afterhours,237.6,0.683,0.431,1995ø
Ossigeno,Germi,Afterhours,298.4,0.683,0.431,1995ø
Musicista Contabile,Hai Paura Del Buio?,Afterhours,330.5,0.683,0.431,1997ø
Male In Polvere,Ballate Per Piccole Iene,Afterhours,244.2,0.683,0.431,2005ø
Male Di Miele,Hai Paura Del Buio?,Afterhours,163.9,0.683,0.431,1997ø
La Vedova Bianca,Ballate Per Piccole Iene,Afterhours,239.3,0.683,0.431,2005ø
Judah's Blood,Ballads For Little Hyenas,Afterhours,303.5,0.683,0.431,2006ø
Il Compleanno Di Andrea,Ballate Per Piccole Iene,Afterhours,236.3,0.683,0.431,2005ø
Ho Tutto In Testa Ma Non Riesco A Dirlo,Germi,Afterhours,156.8,0.683,0.431,1995ø
Hai Paura Del Buio?,Hai Paura Del Buio?,Afterhours,34.8,0.683,0.431,1997ø
Giovane Coglione,Germi,Afterhours,151.4,0.683,0.431,1995ø
Germi,Cuori E Demoni,Afterhours,154.8,0.683,0.431,1995ø
Fresh Flesh,Ballads For Little Hyenas,Afterhours,307.7,0.683,0.431,2006ø
Elymania,Hai Paura Del Buio?,Afterhours,217.5,0.683,0.431,1997ø
Ci Sono Molti Modi,Ballate Per Piccole Iene,Afterhours,269.1,0.683,0.431,2005ø
Carne Fresca,Ballate Per Piccole Iene,Afterhours,308.3,0.268,0.431,2005ø
Ballata Per La Mia Piccola Iena,Ballate Per Piccole Iene,Afterhours,291.8,0.683,0.431,2005ø
Ballad For My Little Hyena,Ballads For Little Hyenas,Afterhours,292.0,0.683,0.431,2006ø
