WWYD?,Exchange,Against All Authority,95.0,0.645,0.47,1999ø
World Dominator,Against All Authority / Common Rider Split,Against All Authority,146.2,0.645,0.47,2005ø
When The Rain Begins To Fall,All Fall Down,Against All Authority,112.9,0.645,0.47,1998ø
When It Comes Down To You,Nothing New For Trash Like You,Against All Authority,98.4,0.645,0.47,1997ø
What The Fuck?d You Expect?,All Fall Down,Against All Authority,135.9,0.645,0.47,1998ø
We Won't Submit,Live at the Fireside Bowl,Against All Authority,114.7,0.645,0.47,1996ø
We Won?t Submit,Nothing New For Trash Like You,Against All Authority,132.7,0.645,0.47,2001ø
We Don?t Need You,All Fall Down,Against All Authority,93.5,0.645,0.47,1998ø
Watered Down & Passive,All Fall Down,Against All Authority,119.2,0.645,0.47,1998ø
War Machine Breakdown,The Restoration Of Chaos & Order,Against All Authority,195.6,0.645,0.47,2005ø
Walking,Live at the Fireside Bowl,Against All Authority,147.0,0.645,0.47,1996ø
Under Your Authority,Nothing New For Trash Like You,Against All Authority,159.2,0.645,0.47,1996ø
Ugly Desires,24 Hour Roadside Resistance,Against All Authority,105.8,0.645,0.47,2000ø
Toby,All Fall Down,Against All Authority,76.0,0.645,0.47,1998ø
Threat,Nothing New For Trash Like You,Against All Authority,109.7,0.645,0.47,1996ø
The Source Of Strontium 90,24 Hour Roadside Resistance,Against All Authority,308.1,0.645,0.47,2000ø
The Production Of Self Destruction,The Restoration Of Chaos & Order,Against All Authority,157.6,0.645,0.47,2006ø
Stand In Line,All Fall Down,Against All Authority,123.8,0.645,0.47,1998ø
Sk8 Rock,All Fall Down,Against All Authority,99.5,0.645,0.47,1998ø
Silence Is Golden But Duct Tape Is Silver,The Restoration Of Chaos & Order,Against All Authority,226.4,0.645,0.47,2006ø
Shut It Down,The Restoration Of Chaos & Order,Against All Authority,172.0,0.645,0.47,2006ø
Sacco & Vanzetti,Nothing New For Trash Like You,Against All Authority,96.6,0.645,0.47,1996ø
Radio Waves,The Restoration Of Chaos & Order,Against All Authority,154.3,0.645,0.47,2006ø
Livin? In Miami,Nothing New For Trash Like You,Against All Authority,112.7,0.645,0.47,2001ø
Lied To,Against All Authority / Common Rider Split,Against All Authority,133.4,0.645,0.47,2005ø
Keep Trying,All Fall Down,Against All Authority,107.7,0.645,0.47,1998ø
Justification,All Fall Down,Against All Authority,136.4,0.645,0.47,1998ø
Just An Obstruction,Nothing New For Trash Like You,Against All Authority,92.6,0.645,0.47,1998ø
It Really Sucks,Live at the Fireside Bowl,Against All Authority,94.7,0.645,0.47,1996ø
I'm Weak Inside,24 Hour Roadside Resistance,Against All Authority,159.5,0.645,0.47,2000ø
I Want To Stab You With Something Rusty,Exchange,Against All Authority,99.3,0.645,0.47,1999ø
Haymarket Square,Nothing New For Trash Like You,Against All Authority,133.3,0.645,0.47,1997ø
Dinkas When I Close My Eyes,24 Hour Roadside Resistance,Against All Authority,100.3,0.645,0.47,2000ø
Destroy What Destroys You,Live at the Fireside Bowl,Against All Authority,109.8,0.645,0.47,1996ø
Daddy's Little Girl,All Fall Down,Against All Authority,81.8,0.645,0.47,1998ø
Court 22,Nothing New For Trash Like You,Against All Authority,130.2,0.645,0.47,1996ø
Centerfold,Nothing New For Trash Like You,Against All Authority,112.0,0.645,0.47,1996ø
Best Enemy,The Restoration Of Chaos & Order,Against All Authority,171.4,0.645,0.47,2006ø
Barricades,Against All Authority / Common Rider Split,Against All Authority,83.1,0.645,0.47,2005ø
Bakunin,Nothing New For Trash Like You,Against All Authority,138.1,0.645,0.47,2001ø
At Our Expense,All Fall Down,Against All Authority,135.1,0.645,0.47,1998ø
Another Fuck You Song,Live at the Fireside Bowl,Against All Authority,118.8,0.645,0.47,1996ø
All Fall Down,All Fall Down,Against All Authority,131.1,0.645,0.47,1998ø
All Ages Show Tonight,The Restoration Of Chaos & Order,Against All Authority,188.6,0.645,0.47,2006ø
ALBA,Nothing New For Trash Like You,Against All Authority,115.9,0.645,0.47,1996ø
Above The Law,Nothing New For Trash Like You,Against All Authority,169.7,0.645,0.47,1996ø
24 Hour Roadside Resistance,24 Hour Roadside Resistance,Against All Authority,117.5,0.645,0.47,2000ø
12:00 AM,All Fall Down,Against All Authority,158.4,0.645,0.47,1998ø
