You Upset Me Baby - Original,King Albert,Albert King,257.1,0.663,0.389,1989ø
Wrapped Up In Love Again,Years Gone By,Albert King,139.7,0.663,0.389,1969ø
Watermelon Man (Montreux),Blues At Sunset (Live At Wattstax And Montreux),Albert King,155.5,0.663,0.389,1973ø
Watermelon Man,Live Wire/Blues Power,Albert King,244.3,0.663,0.389,1968ø
The Sky Is Crying,Years Gone By,Albert King,250.9,0.663,0.389,1992ø
That's What The Blues Is All About,Blues Six Pack,Albert King,231.8,0.663,0.389,1973ø
Please Love Me,Live Wire/Blues Power,Albert King,238.0,0.663,0.389,1968ø
Playing On Me,The Very Best Of Albert King,Albert King,224.3,0.663,0.389,1973ø
Personal Manager,Live '69,Albert King,408.3,0.663,0.389,1967ø
Oh Pretty Woman,The Blues Don't Change,Albert King,283.3,0.663,0.389,2006ø
Match Box Blues (Montreux),Blues At Sunset (Live At Wattstax And Montreux),Albert King,322.2,0.663,0.389,1973ø
Match Box Blues,The Four Kings Of Blues Guitar,Albert King,526.3,0.663,0.389,2009ø
Love Mechanic - Original,King Albert,Albert King,239.3,0.663,0.389,1989ø
Let Me Rock You Easy - Original,King Albert,Albert King,287.9,0.663,0.389,1989ø
Laundromat Blues,Born Under A Bad Sign,Albert King,201.4,0.663,0.389,1967ø
Killing Floor (Wattstax),Blues At Sunset (Live At Wattstax And Montreux),Albert King,217.7,0.663,0.389,1973ø
Killing Floor,Years Gone By,Albert King,186.5,0.663,0.389,1969ø
I'm Gonna Move To The Outskirts Of Town,Crosscut Saw: Albert King In San Francisco,Albert King,455.4,0.663,0.389,1990ø
I'll Play The Blues For You (Wattstax),Blues At Sunset (Live At Wattstax And Montreux),Albert King,340.3,0.663,0.389,1973ø
I'll Play The Blues For You (Parts 1 & 2),I'll Play The Blues For You,Albert King,437.6,0.663,0.389,1999ø
I'll Play The Blues For You,Chronicle,Albert King,236.8,0.663,0.389,1972ø
I Get Evil,New Orleans Heat,Albert King,239.2,0.663,0.389,1962ø
I Believe to My Soul,Hard Bargain,Albert King,276.0,0.663,0.389,1988ø
Hound Dog,Blues For Elvis: King Does The King's Things,Albert King,243.3,0.663,0.389,1986ø
Honky Tonk Woman,The Best Of Albert King,Albert King,238.9,0.663,0.389,1986ø
Got To Be Some Changes Made (Wattstax),Blues At Sunset (Live At Wattstax And Montreux),Albert King,329.2,0.663,0.389,1973ø
Get Out Of My Life Woman,New Orleans Heat,Albert King,223.7,0.663,0.389,1991ø
Feel Good - Live,I'll Play The Blues For You,Albert King,541.4,0.778,0.389,1972ø
Everybody Wants To Go To Heaven,Chronicle,Albert King,261.3,0.663,0.389,1986ø
Crosscut Saw,Crosscut Saw: Albert King In San Francisco,Albert King,278.2,0.663,0.389,1967ø
Crawlin' Kingsnake - Live,I'll Play The Blues For You,Albert King,275.7,0.663,0.389,1972ø
Chump Chance - Original,King Albert,Albert King,221.5,0.663,0.389,1989ø
Can't You See What You're Doing To Me,Funky London,Albert King,219.7,0.663,0.389,1970ø
Breaking Up Somebody's Home (Montreux),Blues At Sunset (Live At Wattstax And Montreux),Albert King,301.9,0.663,0.389,1973ø
Breaking Up Somebody's Home,The Best Of Albert King,Albert King,237.0,0.663,0.389,1972ø
Born Under A Bad Sign,Wednesday Night In San Francisco,Albert King,265.2,0.663,0.389,1967ø
Boom Boom - Live,I'll Play The Blues For You,Albert King,232.8,0.778,0.389,1972ø
Bad Luck,Funky London,Albert King,354.2,0.663,0.389,1974ø
Angel Of Mercy (Wattstax),Blues At Sunset (Live At Wattstax And Montreux),Albert King,300.3,0.663,0.389,1973ø
Angel of Mercy,Blues Power,Albert King,259.0,0.663,0.389,1972ø
