Your Song,Alex Loves...,Alexander O'Neal,240.4,0.609,0.462,2008ø
You Were Meant To Be My Lady (Not My Girl) (24-Bit Digitally Remastered 02),Alexander O'Neal,Alexander O'Neal,390.9,0.609,0.462,1985ø
When A Man Loves A Woman,Alex Loves...,Alexander O'Neal,183.1,0.609,0.462,2008ø
What's Missing (24-Bit Digitally Remastered 02),Alexander O'Neal,Alexander O'Neal,344.2,0.609,0.462,1985ø
What You Won't Do For Love,Alex Loves...,Alexander O'Neal,226.6,0.609,0.462,2008ø
We're On Our Way,Alex Loves...,Alexander O'Neal,240.9,0.609,0.462,2008ø
Unbreak My Heart,Alex Loves...,Alexander O'Neal,267.3,0.609,0.462,2008ø
Secret Lovers (Featuring Mica Paris),Alex Loves...,Alexander O'Neal,268.3,0.609,0.462,2008ø
Saturday Love,Alex Loves...,Alexander O'Neal,301.5,0.609,0.462,2008ø
Right Here Waiting,Alex Loves...,Alexander O'Neal,245.6,0.609,0.462,2008ø
Look At Us Now (24-Bit Digitally Remastered 02),Alexander O'Neal,Alexander O'Neal,307.9,0.609,0.462,1985ø
If You Were Here Tonight (24-Bit Digitally Remastered 02),Alexander O'Neal,Alexander O'Neal,370.2,0.609,0.462,1985ø
If You Were Here Tonight,Alex Loves...,Alexander O'Neal,302.7,0.609,0.462,1985ø
I'll Make Love To You,Alex Loves...,Alexander O'Neal,207.0,0.609,0.462,2008ø
Do You Wanna Like I Do (24-Bit Digitally Remastered 02),Alexander O'Neal,Alexander O'Neal,290.2,0.609,0.462,1985ø
Cherish,Alex Loves...,Alexander O'Neal,242.1,0.609,0.462,2008ø
Babe,Alex Loves...,Alexander O'Neal,236.9,0.609,0.462,2008ø
Always & Forever,Alex Loves...,Alexander O'Neal,278.4,0.609,0.462,2008ø
A Million Love Songs,Alex Loves...,Alexander O'Neal,203.8,0.609,0.462,2008ø
A Broken Heart Can Mend (24-Bit Digitally Remastered 02),Alexander O'Neal,Alexander O'Neal,226.0,0.609,0.462,1985ø
