Toxic Valentine,Toxic Valentine,All Time Low,172.0,0.795,0.529,2009ø
Walls,Nothing Personal,All Time Low,191.2,0.842,0.526,2009ø
Too Much,Nothing Personal,All Time Low,254.1,0.842,0.526,2009ø
This Is How We Do,So Wrong_ It's Right,All Time Low,149.6,0.842,0.526,2007ø
Therapy,Nothing Personal,All Time Low,224.3,0.842,0.526,2009ø
The Party Scene,Put Up or Shut Up,All Time Low,176.8,0.842,0.526,2005ø
The Girl's a Straight-Up Hustler,Put Up or Shut Up,All Time Low,216.7,0.842,0.526,2006ø
The Beach,So Wrong_ It's Right,All Time Low,181.7,0.842,0.526,2007ø
Stella,Nothing Personal,All Time Low,202.1,0.842,0.526,2009ø
Stay Awake (Dreams Only Last For A Night),So Wrong_ It's Right,All Time Low,214.3,0.842,0.526,2007ø
Six Feet Under The Stars,So Wrong_ It's Right,All Time Low,216.5,0.842,0.526,2007ø
Sick Little Games,Nothing Personal,All Time Low,215.8,0.842,0.526,2009ø
Shameless,So Wrong_ It's Right,All Time Low,221.7,0.842,0.526,2007ø
Running From Lions,Put Up or Shut Up,All Time Low,180.7,0.842,0.526,2005ø
Remembering Sunday,So Wrong_ It's Right,All Time Low,256.7,0.842,0.526,2007ø
Poppin' Champagne,I'm So Hopeless_ You're So Hopeless,All Time Low,199.9,0.842,0.526,2007ø
Poppin' (Video Mix),Poppin' Dance Remix,All Time Low,185.9,0.842,0.526,2008ø
Poppin' (Dance Remix),Poppin' Dance Remix,All Time Low,208.5,0.842,0.526,2008ø
Poppin',Poppin' Dance Remix,All Time Low,208.4,0.842,0.526,2008ø
Lullabies,Put Up or Shut Up,All Time Low,242.5,0.842,0.526,2005ø
Lost In Stereo,Nothing Personal,All Time Low,227.5,0.842,0.526,2009ø
Let It Roll (Hurley Studio Acoustic),Hopelessly Devoted To You Vol. 7,All Time Low,213.6,0.842,0.526,2009ø
Keep The Change_ You Filthy Animal,Nothing Personal,All Time Low,200.2,0.842,0.526,2009ø
Jasey Rae,MTV Unplugged,All Time Low,219.8,0.842,0.526,2006ø
Holly (Would You Turn Me On?),So Wrong_ It's Right,All Time Low,231.9,0.842,0.526,2007ø
Hello_ Brooklyn,Nothing Personal,All Time Low,209.9,0.842,0.526,2009ø
Dear Maria_ Count Me In,MTV Unplugged,All Time Low,219.5,0.842,0.526,2010ø
Damned If I Do Ya (Damned If I Don't),Nothing Personal,All Time Low,187.1,0.842,0.526,2009ø
Coffee Shop Soundtrack,MTV Unplugged,All Time Low,214.1,0.842,0.526,2006ø
Break Your Little Heart,Nothing Personal,All Time Low,170.0,0.842,0.526,2009ø
Break Out! Break Out!,Put Up or Shut Up,All Time Low,182.1,0.642,0.526,2005ø
A Party Song (The Walk of Shame),Nothing Personal,All Time Low,177.8,0.842,0.526,2009ø
