Wish I Was Her,Who I Am,Amy Pearson,243.9,0.595,0.393,2008ø
Stranded,Who I Am,Amy Pearson,220.4,0.595,0.393,2008ø
Remember To Breathe,Who I Am,Amy Pearson,298.3,0.595,0.393,2008ø
Now And For Always,Who I Am,Amy Pearson,206.9,0.595,0.393,2008ø
Not Me,Who I Am,Amy Pearson,193.9,0.595,0.393,2008ø
Love Is Out Of Reach,Who I Am,Amy Pearson,253.3,0.595,0.393,2008ø
Lost Without Your Love,Who I Am,Amy Pearson,265.6,0.595,0.393,2008ø
Fading Picture,Who I Am,Amy Pearson,232.3,0.595,0.393,2008ø
Don't Ya Give Up,Who I Am,Amy Pearson,243.0,0.595,0.393,2008ø
Don't Miss You,Who I Am,Amy Pearson,199.6,0.595,0.393,2007ø
Does Anybody?,Who I Am,Amy Pearson,234.6,0.595,0.393,2008ø
