Undercurrents,Here's One I Made Earlier!,Andrea Parker,438.8,0.594,0.417,2007ø
Too Good To Be Strange,Here's One I Made Earlier!,Andrea Parker,438.6,0.594,0.417,2007ø
Time Zones,Here's One I Made Earlier!,Andrea Parker,440.5,0.594,0.417,2007ø
The Swamp,Nobody's Perfect Part Three,Andrea Parker,172.4,0.594,0.417,2001ø
Nearly There,Here's One I Made Earlier!,Andrea Parker,184.6,0.594,0.417,2007ø
Invasion,Here's One I Made Earlier!,Andrea Parker,333.9,0.594,0.417,2001ø
Frogspawn,Here's One I Made Earlier!,Andrea Parker,465.4,0.594,0.417,2007ø
Empty Words,Here's One I Made Earlier!,Andrea Parker,306.1,0.594,0.417,2001ø
Angular Art,Here's One I Made Earlier!,Andrea Parker,445.5,0.594,0.417,2000ø
After Dark,Here's One I Made Earlier!,Andrea Parker,531.5,0.594,0.417,2007ø
