The greenhorn/Exile of Erin/Glasgow Reel,Music of Hair,Andrew Bird,257.2,0.758,0.549,1997ø
Spare-Ohs,Armchair Apocrypha,Andrew Bird,247.2,0.758,0.549,2007ø
Simple X,Armchair Apocrypha,Andrew Bird,216.8,0.758,0.549,2007ø
Scythian Empires,Live at Austin City Limits Music Festival 2007: Andrew Bird,Andrew Bird,430.5,0.758,0.504,2007ø
Plasticities,Live at Austin City Limits Music Festival 2007: Andrew Bird,Andrew Bird,429.0,0.758,0.504,2007ø
Pathetique,Music of Hair,Andrew Bird,249.9,0.758,0.504,1997ø
Nuthinduan Waltz,Music of Hair,Andrew Bird,300.8,0.758,0.504,1997ø
Measuring Cups,Live at Lollapalooza 2006: Andrew Bird,Andrew Bird,219.9,0.758,0.504,2005ø
Imitosis,Live at Austin City Limits Music Festival 2007: Andrew Bird,Andrew Bird,336.8,0.758,0.504,2007ø
Heretics,Live at Austin City Limits Music Festival 2007: Andrew Bird,Andrew Bird,212.7,0.758,0.504,2007ø
Fiery Crash,Live at Austin City Limits Music Festival 2007: Andrew Bird,Andrew Bird,390.6,0.758,0.504,2007ø
Fake Palindromes,Live at Austin City Limits Music Festival 2007: Andrew Bird,Andrew Bird,240.3,0.758,0.504,2005ø
Darkmatter,Live at Austin City Limits Music Festival 2007: Andrew Bird,Andrew Bird,341.8,0.758,0.504,2007ø
Anonanimal,Anonanimal / See The Enemy,Andrew Bird,235.9,0.758,0.504,2007ø
A Nervous Tic Motion of the Head to the Left,Live at Austin City Limits Music Festival 2007: Andrew Bird,Andrew Bird,328.4,0.758,0.504,2005ø
Yawny And The Apocalypse,Armchair Apocrypha,Andrew Bird,219.0,0.758,0.498,2007ø
Unfolding Fans,Noble Beast,Andrew Bird,57.7,0.758,0.498,2009ø
Two Sisters,Music of Hair,Andrew Bird,259.8,0.758,0.498,1997ø
Theme 1 (restated),Ballad of the Red Shoes,Andrew Bird,51.2,0.758,0.498,2002ø
The Water Jet Cilice,Soldier On,Andrew Bird,221.7,0.758,0.498,2006ø
The Trees Were Mistaken,Soldier On,Andrew Bird,390.0,0.758,0.498,2007ø
The Supine,Armchair Apocrypha,Andrew Bird,59.0,0.758,0.498,2007ø
The Privateers,Noble Beast,Andrew Bird,202.1,0.758,0.498,2009ø
The Nightshade Gets In It,Fitz And The Dizzy Spells,Andrew Bird,171.4,0.758,0.498,2009ø
The Giant Of Illinois,Dark Was The Night (Red Hot Compilation),Andrew Bird,284.5,0.758,0.498,2007ø
The Door,Ballad of the Red Shoes,Andrew Bird,132.9,0.758,0.498,2002ø
Tenuousness,Noble Beast,Andrew Bird,230.8,0.758,0.498,2009ø
Swedish Folk Tune,Ballad of the Red Shoes,Andrew Bird,87.2,0.758,0.498,2002ø
St. Francis Reel,Music of Hair,Andrew Bird,190.4,0.758,0.498,1997ø
Souverian,Noble Beast,Andrew Bird,434.4,0.758,0.498,2009ø
Song of Foot,Music of Hair,Andrew Bird,177.1,0.758,0.498,1997ø
Something Sinister,Ballad of the Red Shoes,Andrew Bird,99.0,0.758,0.498,2002ø
Sic Of Elephants,Soldier On,Andrew Bird,286.7,0.758,0.498,2007ø
See The Enemy,Anonanimal / See The Enemy,Andrew Bird,314.4,0.758,0.498,2009ø
Sectionate City,Soldier On,Andrew Bird,166.7,0.758,0.498,2009ø
Rhodeoah,Music of Hair,Andrew Bird,283.6,0.758,0.498,1997ø
Ratitat/Peter's Wolf/Oblivious Reel,Music of Hair,Andrew Bird,319.1,0.758,0.498,1997ø
Oh So Sad,Music of Hair,Andrew Bird,349.4,0.758,0.498,1997ø
Oh So Insistent,Music of Hair,Andrew Bird,234.6,0.758,0.498,1997ø
Oh Sister,Soldier On,Andrew Bird,289.0,0.758,0.498,2007ø
Oh No,Noble Beast,Andrew Bird,257.3,0.758,0.498,2009ø
Oh Ho!,Noble Beast,Andrew Bird,68.1,0.758,0.498,2009ø
Not A Robot_ But A Ghost,Noble Beast,Andrew Bird,337.1,0.758,0.498,2009ø
Nomenclature,Noble Beast,Andrew Bird,174.2,0.758,0.498,2009ø
Natural Disaster,Noble Beast,Andrew Bird,255.8,0.758,0.498,2009ø
Masterswarm,Noble Beast,Andrew Bird,394.4,0.758,0.498,2009ø
How You Gonna Keep 'Em Down On The Farm,Soldier On,Andrew Bird,305.8,0.758,0.498,2007ø
Heretics (early version),Soldier On,Andrew Bird,225.0,0.758,0.498,2007ø
Dark Matter,Armchair Apocrypha,Andrew Bird,307.8,0.758,0.498,2006ø
Dance of Death,Ballad of the Red Shoes,Andrew Bird,95.2,0.758,0.498,2002ø
Chorus of the Swan,Ballad of the Red Shoes,Andrew Bird,164.9,0.758,0.498,2002ø
Cataracts,Armchair Apocrypha,Andrew Bird,192.5,0.758,0.498,2007ø
Armchairs,Armchair Apocrypha,Andrew Bird,422.8,0.758,0.498,2007ø
Ambivalence Waltz,Music of Hair,Andrew Bird,149.7,0.758,0.498,1997ø
Way Out West (Album Version),The Swimming Hour,Andrew Bird,246.1,0.552,0.414,2001ø
Waiting To Talk (Album Version),The Swimming Hour,Andrew Bird,253.1,0.552,0.414,2001ø
Two Way Action (Album Version),The Swimming Hour,Andrew Bird,283.4,0.552,0.414,2001ø
Too Long (Album Version),The Swimming Hour,Andrew Bird,153.0,0.552,0.414,2001ø
How Indiscreet (Album Version),The Swimming Hour,Andrew Bird,274.3,0.552,0.414,2001ø
Headsoak (Album Version),The Swimming Hour,Andrew Bird,233.7,0.552,0.414,2001ø
Fatal Flower Garden (Album Version),The Swimming Hour,Andrew Bird,284.0,0.552,0.414,2001ø
Dear Old Greenland (Album Version),The Swimming Hour,Andrew Bird,210.2,0.552,0.414,2001ø
Core And Rind (Album Version),The Swimming Hour,Andrew Bird,182.5,0.552,0.414,2001ø
Case In Point (Album Version),The Swimming Hour,Andrew Bird,289.1,0.552,0.414,2001ø
And So& (Album Version),Oh! The Grandeur,Andrew Bird,84.6,0.552,0.414,1999ø
11:11 (Album Version),The Swimming Hour,Andrew Bird,214.8,0.552,0.382,2001ø
