Sunrain,New Age Of Earth,Ashra,452.6,0.544,0.408,1977ø
Shuttle Cock,Blackouts,Ashra,510.6,0.544,0.408,1978ø
Phantasus,Correlations,Ashra,310.9,0.544,0.408,1979ø
Pas De Trois,Correlations,Ashra,537.8,0.544,0.408,1979ø
Oasis,Correlations,Ashra,225.7,0.544,0.408,1979ø
Morgana Da Capo,Correlations,Ashra,330.1,0.544,0.408,1979ø
Ice Train,Correlations,Ashra,461.4,0.544,0.408,1979ø
Don't Trust The Kids,Blackouts,Ashra,194.8,0.544,0.408,1978ø
Deep Distance,New Age Of Earth,Ashra,349.7,0.544,0.408,1977ø
Club Cannibal,Correlations,Ashra,324.8,0.544,0.408,1979ø
Blackouts,Blackouts,Ashra,276.1,0.544,0.408,1978ø
Bamboo Sands,Correlations,Ashra,341.1,0.544,0.408,1979ø
77 Slightly Delayed,Blackouts,Ashra,409.1,0.544,0.408,1978ø
