Wrapped Cloth,Kapnobatai,Atrium Carceri,194.0,0.494,0.422,2005ø
Warden,Seishinbyouin,Atrium Carceri,162.7,0.494,0.422,2004ø
Victim,Seishinbyouin,Atrium Carceri,196.4,0.494,0.422,2004ø
Twisted Foetus,Seishinbyouin,Atrium Carceri,336.4,0.494,0.422,2004ø
Torn Citadel Of The Autarch,Kapnobatai,Atrium Carceri,170.0,0.494,0.422,2005ø
Thermographic Components,Kapnobatai,Atrium Carceri,344.0,0.494,0.422,2005ø
The Carnophage,Kapnobatai,Atrium Carceri,263.3,0.494,0.422,2005ø
The Call,Seishinbyouin,Atrium Carceri,317.5,0.494,0.422,2004ø
Synaptic Transmission,Kapnobatai,Atrium Carceri,290.0,0.494,0.422,2005ø
Stained,Kapnobatai,Atrium Carceri,426.0,0.494,0.422,2005ø
Ruins Of Desolation,Kapnobatai,Atrium Carceri,242.0,0.494,0.422,2005ø
Maintenance Tunnels,Kapnobatai,Atrium Carceri,274.0,0.494,0.422,2005ø
Librarian,Seishinbyouin,Atrium Carceri,260.9,0.494,0.422,2004ø
Incubation,Seishinbyouin,Atrium Carceri,178.7,0.494,0.422,2004ø
Impaled Butterfly,Kapnobatai,Atrium Carceri,298.0,0.494,0.422,2004ø
Hidden Crimes,Seishinbyouin,Atrium Carceri,322.1,0.494,0.422,2004ø
Frosted Snowflakes,Seishinbyouin,Atrium Carceri,271.7,0.494,0.422,2004ø
Escape,Seishinbyouin,Atrium Carceri,263.9,0.494,0.422,2004ø
End Titles,All My Dead Friends,Atrium Carceri,198.2,0.494,0.422,2006ø
Enclosed World / Liberation,Kapnobatai,Atrium Carceri,326.0,0.494,0.422,2005ø
Dark Water,Seishinbyouin,Atrium Carceri,249.7,0.494,0.422,2004ø
Behind The Curtain Of Life,Kapnobatai,Atrium Carceri,141.6,0.494,0.422,2005ø
Atmosfear,Seishinbyouin,Atrium Carceri,298.7,0.494,0.422,2004ø
A Stroll Through The Ancient City,Kapnobatai,Atrium Carceri,341.5,0.494,0.422,2005ø
