Zydeco Sont Pas Sale,Opelousa Waltz,Austin Pitre,223.1,0.303,0.24,1997ø
Tou Le Soir,Opelousa Waltz,Austin Pitre,245.1,0.303,0.24,1997ø
Prison Song,Folksongs Of The Louisiana Acadians,Austin Pitre,194.1,0.303,0.24,1994ø
Perrodin Two-Step,Opelousa Waltz,Austin Pitre,127.0,0.303,0.24,1997ø
Opelousas Waltz,Opelousa Waltz,Austin Pitre,160.7,0.303,0.24,1997ø
Louisiana Aces Special,Opelousa Waltz,Austin Pitre,211.3,0.303,0.24,1997ø
Lost Lover Breakdown,Folksongs Of The Louisiana Acadians,Austin Pitre,166.1,0.303,0.24,1994ø
Lake Arthur Stomp,Opelousa Waltz,Austin Pitre,150.8,0.303,0.24,1997ø
La Valse De St. Landry,Opelousa Waltz,Austin Pitre,193.1,0.303,0.24,1997ø
Jolie Blonde,Cajun Champs,Austin Pitre,124.1,0.303,0.24,1997ø
Evangeline Playboys Special,Opelousa Waltz,Austin Pitre,145.6,0.303,0.24,1997ø
Drunkard's Blues,Opelousa Waltz,Austin Pitre,178.2,0.303,0.24,1997ø
Criminal Waltz,Opelousa Waltz,Austin Pitre,188.5,0.303,0.24,1997ø
Cheres Joues Rose,Opelousa Waltz,Austin Pitre,168.2,0.303,0.24,1997ø
Cajun Waltz,Opelousa Waltz,Austin Pitre,184.5,0.303,0.24,1997ø
Cajun Breakdown,Opelousa Waltz,Austin Pitre,135.0,0.303,0.24,1997ø
Bosco Stomp,Opelousa Waltz,Austin Pitre,161.1,0.303,0.24,1997ø
