Your Dogs and Your Lynchin' Mob,The Swamp Angel,Bain Wolfkind,189.7,0.542,0.399,2008ø
The Rooster and the Crow,The Swamp Angel,Bain Wolfkind,163.6,0.542,0.399,2008ø
The Palace of Pain,The Swamp Angel,Bain Wolfkind,204.4,0.542,0.399,2008ø
The Eye of the Hurricane,The Swamp Angel,Bain Wolfkind,214.5,0.542,0.399,2008ø
The Drugs in Your Veins,The Swamp Angel,Bain Wolfkind,144.2,0.542,0.399,2008ø
The Crossroads,The Swamp Angel,Bain Wolfkind,181.3,0.542,0.399,2008ø
Rainin' in My Heart,The Swamp Angel,Bain Wolfkind,242.5,0.542,0.399,2008ø
Nailed to the Mast,The Swamp Angel,Bain Wolfkind,208.1,0.542,0.399,2008ø
Just a Drowning Man,The Swamp Angel,Bain Wolfkind,245.6,0.542,0.399,2008ø
Down to the River,The Swamp Angel,Bain Wolfkind,195.3,0.542,0.399,2008ø
Corruption Is the Currency,The Swamp Angel,Bain Wolfkind,258.7,0.542,0.399,2008ø
Come a Ride With Me,The Swamp Angel,Bain Wolfkind,170.1,0.542,0.399,2008ø
Blue Eyes and Codeine,The Swamp Angel,Bain Wolfkind,272.3,0.542,0.399,2008ø
A Scar Called hate,The Swamp Angel,Bain Wolfkind,214.0,0.542,0.399,2008ø
