Untitled Forever,Not In A Million Lovers,Beangrowers,263.3,0.529,0.42,2008ø
The Interlude,Not In A Million Lovers,Beangrowers,88.8,0.529,0.42,2008ø
Quaint Affair,Not In A Million Lovers,Beangrowers,273.3,0.529,0.42,2008ø
Ours Is A Small Flat,Not In A Million Lovers,Beangrowers,294.7,0.529,0.42,2008ø
Not In A Million Lovers,Not In A Million Lovers,Beangrowers,188.2,0.529,0.42,2008ø
Machine,Not In A Million Lovers,Beangrowers,235.2,0.529,0.42,2008ø
Love Can Do You No Harm,Not In A Million Lovers,Beangrowers,192.5,0.529,0.42,2008ø
Like Ken,Not In A Million Lovers,Beangrowers,199.2,0.529,0.42,2008ø
Life's A Bitch Then She Sings In Your Band,Not In A Million Lovers,Beangrowers,324.8,0.529,0.42,2008ø
Good Band Bad Name,Not In A Million Lovers,Beangrowers,148.7,0.529,0.42,2008ø
Depths Of Bavaria,Not In A Million Lovers,Beangrowers,257.5,0.529,0.42,2008ø
Captain Darling,Not In A Million Lovers,Beangrowers,354.7,0.529,0.42,2008ø
Available,Not In A Million Lovers,Beangrowers,203.5,0.529,0.42,2008ø
