This Is Just (Another Song),Mooger Fooger,Bermuda Triangle,316.0,0.538,0.377,2003ø
Tay Do 22,Tay Do 22,Bermuda Triangle,340.2,0.538,0.377,2003ø
Sunshine Pain,Mooger Fooger,Bermuda Triangle,237.4,0.538,0.377,2003ø
Strawberry Girl,33 Rpm,Bermuda Triangle,300.1,0.538,0.377,2006ø
Secret Pillow,Mooger Fooger,Bermuda Triangle,361.2,0.538,0.377,2003ø
Juliuss,Mooger Fooger,Bermuda Triangle,226.4,0.538,0.377,2003ø
In Transit,Mooger Fooger,Bermuda Triangle,454.0,0.538,0.377,2003ø
Hey J,33 Rpm,Bermuda Triangle,242.7,0.538,0.377,2006ø
Fearless,33rpm,Bermuda Triangle,223.1,0.538,0.377,2006ø
Carib,Mooger Fooger,Bermuda Triangle,299.4,0.538,0.377,2003ø
Breathe Freely,Breathe Freely (Single),Bermuda Triangle,231.5,0.538,0.377,2007ø
Black Sheep,Mooger Fooger,Bermuda Triangle,252.9,0.538,0.377,2003ø
