You'll Always Be My Best Friend,Everybody's Brother,Billy Joe Shaver,168.8,0.639,0.457,2007ø
You Wouldn't Know Love,A Tribute to Billy Joe Shaver - Live,Billy Joe Shaver,123.0,0.639,0.457,2005ø
You Ought To Be With Me When I'm Alone,The Real Deal,Billy Joe Shaver,224.1,0.639,0.457,2005ø
You Asked Me To,Greatest Hits,Billy Joe Shaver,148.7,0.639,0.457,1995ø
Window Rock,Billy And The Kid,Billy Joe Shaver,325.2,0.639,0.457,2004ø
When I Get My Wings,Everybody's Brother,Billy Joe Shaver,260.7,0.639,0.457,1976ø
West Texas Waltz (W/ Kimmie Rhodes),The Real Deal,Billy Joe Shaver,244.0,0.639,0.457,2005ø
Velvet Chains,Billy And The Kid,Billy Joe Shaver,213.3,0.639,0.457,2004ø
Valentine (W/ Nanci Griffith),The Real Deal,Billy Joe Shaver,194.9,0.639,0.457,2005ø
Try and Try Again,Greatest Hits,Billy Joe Shaver,218.6,0.639,0.457,2005ø
Tramp on Your Street,A Tribute to Billy Joe Shaver - Live,Billy Joe Shaver,323.3,0.639,0.457,1993ø
To Be Loved By a Woman,Everybody's Brother,Billy Joe Shaver,227.4,0.639,0.457,2007ø
There's No Fool Like An Old Fool,The Real Deal,Billy Joe Shaver,194.0,0.639,0.457,2005ø
The Hottest Thing In Town,Tramp On Your Street,Billy Joe Shaver,216.2,0.639,0.457,1993ø
The Greatest Man Alive,Everybody's Brother,Billy Joe Shaver,191.3,0.639,0.457,2007ø
Take A Chance On Romance,Tramp On Your Street,Billy Joe Shaver,199.6,0.639,0.457,1993ø
Sweet Melody,The Real Deal,Billy Joe Shaver,185.1,0.639,0.457,2005ø
Sweet Mama,Salt Of The Earth,Billy Joe Shaver,204.4,0.639,0.457,1995ø
Step On Up,Billy And The Kid,Billy Joe Shaver,218.2,0.639,0.457,2004ø
Slim Chance and the Can't Hardly Playboys (W/ Kevin Fowler),The Real Deal,Billy Joe Shaver,292.1,0.639,0.457,2005ø
Rolling Stone,Everybody's Brother,Billy Joe Shaver,184.8,0.639,0.457,2007ø
Ride Me Down Easy,Greatest Hits,Billy Joe Shaver,287.5,0.639,0.457,1976ø
Real Deal_ The,The Real Deal,Billy Joe Shaver,206.2,0.639,0.457,2005ø
Old Chunk Of Coal,Greatest Hits,Billy Joe Shaver,156.6,0.639,0.457,1993ø
Oklahoma Wind,Tramp On Your Street,Billy Joe Shaver,273.1,0.639,0.457,1993ø
Most Precious,Everybody's Brother,Billy Joe Shaver,251.6,0.639,0.457,2007ø
Lighting A Torch,Billy And The Kid,Billy Joe Shaver,281.4,0.639,0.457,2004ø
Kneeling Drunkard's Plea,Anchored In Love: A Tribute to June Carter Cash,Billy Joe Shaver,194.3,0.639,0.457,2007ø
KAND_ Corsicana_ Texas,Tramp On Your Street,Billy Joe Shaver,49.2,0.639,0.457,1993ø
Jesus Christ Is Still The King,The Real Deal,Billy Joe Shaver,158.6,0.639,0.457,2005ø
It Just Ain't There For Me No More,The Real Deal,Billy Joe Shaver,205.9,0.639,0.457,2005ø
If You Don't Love Jesus,Everybody's Brother,Billy Joe Shaver,159.4,0.639,0.457,2007ø
If the Trailer's Rockin' Don't Come Knockin',The Real Deal,Billy Joe Shaver,187.2,0.639,0.457,2005ø
If It Don't Kill You,Billy And The Kid,Billy Joe Shaver,230.9,0.639,0.457,2004ø
If I Give My Soul,Tramp On Your Street,Billy Joe Shaver,257.3,0.639,0.457,1993ø
I Want Some More - followed by Tenntex,Tramp On Your Street,Billy Joe Shaver,436.7,0.639,0.457,1993ø
Honky Tonk Heroes,Greatest Hits,Billy Joe Shaver,175.7,0.639,0.457,1995ø
Heart Of Texas,Tramp On Your Street,Billy Joe Shaver,225.7,0.639,0.457,1993ø
Good Ol' U.S.A.,Freedom's Child,Billy Joe Shaver,184.1,0.639,0.457,1993ø
Georgia on a Fast Train,A Tribute to Billy Joe Shaver - Live,Billy Joe Shaver,257.6,0.639,0.457,1993ø
Freedom's Child,Greatest Hits,Billy Joe Shaver,228.1,0.639,0.457,2003ø
Feliz Navidad (W/ Flaco Jimenez),The Real Deal,Billy Joe Shaver,161.0,0.639,0.457,2005ø
Eagle On The Ground,Billy And The Kid,Billy Joe Shaver,189.1,0.639,0.457,2004ø
Drown In Love,Billy And The Kid,Billy Joe Shaver,154.8,0.639,0.457,2004ø
Drinkin' Back,Brewed In Texas Volume 2,Billy Joe Shaver,211.1,0.639,0.457,2005ø
Black Rose,Greatest Hits,Billy Joe Shaver,139.4,0.639,0.457,1973ø
Baptism Of Fire,Billy And The Kid,Billy Joe Shaver,376.8,0.639,0.457,2004ø
Aunt Jessie's Chicken Ranch,The Real Deal,Billy Joe Shaver,475.9,0.639,0.457,2005ø
(We Are) The Cowboys,Boots_ Buckles & Spurs - 50 Songs Celebrate 50 Years of Cowboy Tradition,Billy Joe Shaver,220.8,0.639,0.457,1998ø
