Yesterdays Friends,Sound of the Apocalypse,Black Bonzo,430.2,0.489,0.37,2007ø
Where The River,Lady of the Light,Black Bonzo,474.5,0.489,0.37,2004ø
Thorns Upon A Crown,Sound Of The Apocalypse,Black Bonzo,411.4,0.489,0.37,2007ø
These Are the Days,Lady of the Light,Black Bonzo,402.2,0.489,0.37,2004ø
These Are Days Of Sorrow,Black Bonzo,Black Bonzo,401.1,0.489,0.37,2004ø
New Day/Intermission,Lady of the Light,Black Bonzo,253.9,0.489,0.37,2004ø
Leave You Burdens,Lady of the Light,Black Bonzo,243.1,0.489,0.37,2004ø
Lady Of The Light,Lady of the Light,Black Bonzo,423.7,0.489,0.37,2004ø
Jail Bait,Lady of the Light,Black Bonzo,259.7,0.489,0.37,2004ø
Iscariot,Sound of the Apocalypse,Black Bonzo,442.8,0.489,0.37,2007ø
Intermission (Revelation Song),Sound of the Apocalypse,Black Bonzo,119.3,0.489,0.37,2007ø
Giant Games,Sound Of The Apocalypse,Black Bonzo,355.9,0.489,0.37,2007ø
Brave Young Soldier,Black Bonzo,Black Bonzo,547.9,0.489,0.37,2004ø
Ageless Door,Sound Of The Apocalypse,Black Bonzo,323.4,0.489,0.37,2007ø
