Young Neil,La Mia Vita Violenta,Blonde Redhead,72.7,0.621,0.558,1995ø
Without Feathers,Blonde Redhead,Blonde Redhead,237.7,0.621,0.558,1995ø
Violent Life,La Mia Vita Violenta,Blonde Redhead,231.1,0.621,0.558,1995ø
U.F.O.,La Mia Vita Violenta,Blonde Redhead,338.3,0.621,0.558,1995ø
Top Ranking,23,Blonde Redhead,207.1,0.621,0.558,2007ø
Tons Confession,Elephant Woman,Blonde Redhead,217.3,0.621,0.558,2004ø
The Dress,23,Blonde Redhead,241.0,0.621,0.558,2007ø
Swing Pool,Blonde Redhead,Blonde Redhead,255.1,0.621,0.558,1995ø
SW,23,Blonde Redhead,275.6,0.621,0.558,2007ø
Snippet,Blonde Redhead,Blonde Redhead,182.6,0.621,0.558,1995ø
Silently,Silently,Blonde Redhead,239.1,0.621,0.558,2007ø
Signs Along The Path,Silently,Blonde Redhead,224.4,0.621,0.558,2007ø
Sciuri Sciura,Blonde Redhead,Blonde Redhead,202.6,0.621,0.558,1995ø
Publisher,23,Blonde Redhead,241.7,0.621,0.558,2007ø
Pink Love,Misery Is A Butterfly,Blonde Redhead,373.3,0.621,0.558,2004ø
My Impure Hair,23,Blonde Redhead,292.4,0.621,0.558,2007ø
Misery Is A Butterfly,Misery Is A Butterfly,Blonde Redhead,308.0,0.621,0.558,2004ø
Misery (Wicked Version),Elephant Woman,Blonde Redhead,282.5,0.621,0.558,2004ø
Messenger,Misery Is A Butterfly,Blonde Redhead,201.9,0.621,0.558,2004ø
Mama Cita,Blonde Redhead,Blonde Redhead,202.5,0.621,0.558,1995ø
Magic Mountain,Misery Is A Butterfly,Blonde Redhead,182.5,0.621,0.558,2004ø
Maddening Cloud,Misery Is A Butterfly,Blonde Redhead,200.5,0.621,0.558,2004ø
Jewel,La Mia Vita Violenta,Blonde Redhead,202.4,0.621,0.558,1995ø
I Still Get Rocks Off (I Am Taking Out the Eurotrash),La Mia Vita Violenta,Blonde Redhead,220.7,0.621,0.558,1995ø
I Don't Want U,Blonde Redhead,Blonde Redhead,303.5,0.621,0.558,1995ø
I Am There While You Choke On Me,La Mia Vita Violenta,Blonde Redhead,116.9,0.621,0.558,1995ø
Heroine,23,Blonde Redhead,251.4,0.621,0.558,2007ø
Harmony,La Mia Vita Violenta,Blonde Redhead,316.1,0.621,0.558,1995ø
Girl Boy,Blonde Redhead,Blonde Redhead,108.7,0.621,0.558,1995ø
Falling Man,Misery Is A Butterfly,Blonde Redhead,206.6,0.621,0.558,2004ø
Elephant Woman,Misery Is A Butterfly,Blonde Redhead,289.8,0.621,0.558,2004ø
Dr Strangeluv,23,Blonde Redhead,287.2,0.621,0.558,2007ø
Down Under,La Mia Vita Violenta,Blonde Redhead,249.1,0.621,0.558,1995ø
Doll Is Mine,Misery Is A Butterfly,Blonde Redhead,186.5,0.621,0.558,2004ø
Bean,La Mia Vita Violenta,Blonde Redhead,277.6,0.621,0.558,1995ø
Astro Boy,Blonde Redhead,Blonde Redhead,259.3,0.621,0.558,1995ø
Anticipation,Misery Is A Butterfly,Blonde Redhead,244.3,0.621,0.558,2004ø
10 Feet High,La Mia Vita Violenta,Blonde Redhead,279.0,0.621,0.558,1995ø
(We Are A Real Team) Harry And I,Silently,Blonde Redhead,482.2,0.621,0.558,2007ø
