Whiskey Bent And Hellbound [Hellmyr] (Album Version),Red Harvest,Bloodsimple,365.6,0.711,0.456,2007ø
What If I Lost It (Album Version),A Cruel World,Bloodsimple,204.5,0.711,0.456,2005ø
Truth [Thicker Than Water] (Album Version),Red Harvest,Bloodsimple,324.5,0.711,0.456,2007ø
The Leaving Song (Album Version),A Cruel World,Bloodsimple,272.2,0.711,0.456,2005ø
Suck It Up (Album Version),Red Harvest,Bloodsimple,210.3,0.711,0.456,2007ø
Straight Hate (Album Version),A Cruel World,Bloodsimple,285.5,0.711,0.456,2005ø
Sell Me Out (Album Version),A Cruel World,Bloodsimple,218.5,0.711,0.456,2005ø
Running From Nothing (Album Version),A Cruel World,Bloodsimple,251.9,0.711,0.456,2005ø
Ride With Me (Album Version),Red Harvest,Bloodsimple,297.6,0.711,0.456,2007ø
Plunder (Album Version),A Cruel World,Bloodsimple,405.2,0.711,0.456,2005ø
Path To Prevail (Album Version),A Cruel World,Bloodsimple,196.3,0.711,0.456,2005ø
Numina Infuscata (Album Version),Red Harvest,Bloodsimple,161.2,0.711,0.456,2007ø
Killing Time (Album Version),Red Harvest,Bloodsimple,223.4,0.711,0.456,2007ø
Flatlined (Album Version),A Cruel World,Bloodsimple,253.9,0.711,0.456,2005ø
Death From Above (Album Version),Red Harvest,Bloodsimple,242.8,0.711,0.456,2007ø
Dead Man Walking (Album Version),Red Harvest,Bloodsimple,237.7,0.711,0.456,2007ø
Dark Helmet (Album Version),Red Harvest,Bloodsimple,227.4,0.711,0.456,2007ø
Cruel World (Album Version),A Cruel World,Bloodsimple,234.8,0.711,0.456,2005ø
Blood In Blood Out (Album Version),A Cruel World,Bloodsimple,139.6,0.711,0.456,2005ø
