Years May Come,With Love From...,Bonnie Tyler,230.3,0.709,0.515,1993ø
Wild Love,It's A Heartache,Bonnie Tyler,274.6,0.709,0.515,1981ø
Why,With Love From...,Bonnie Tyler,236.5,0.709,0.515,1991ø
We Can Start Here   *,All In One Voice,Bonnie Tyler,242.4,0.709,0.515,1999ø
Total Eclipse Of The Heart,Steel Box Collection - Greatest Hits,Bonnie Tyler,418.6,0.709,0.515,1982ø
To Love Somebody,The Very Best Of Bonnie Tyler,Bonnie Tyler,345.2,0.709,0.515,1988ø
The World Starts Tonight,It's A Heartache,Bonnie Tyler,212.4,0.709,0.515,1977ø
The World Is Full Of Married Men,It's A Heartache,Bonnie Tyler,237.2,0.709,0.515,1979ø
The Rose   ***,All In One Voice,Bonnie Tyler,205.8,0.709,0.515,1999ø
The Closer You Get,It's A Heartache,Bonnie Tyler,227.1,0.709,0.515,1981ø
The Best,Ravishing - The Best Of,Bonnie Tyler,255.9,0.709,0.515,1988ø
Tears,Faster Than The Speed Of Night / Secret Dreams & Forbidden Fire,Bonnie Tyler,230.0,0.709,0.515,1983ø
Take Me Back,Faster Than The Speed Of Night,Bonnie Tyler,322.2,0.709,0.515,1982ø
Take Another Look At Your Heart,The Very Best Of Bonnie Tyler,Bonnie Tyler,226.8,0.709,0.515,1988ø
Streets Of Little Italy,From The Heart: Greatest Hits,Bonnie Tyler,279.4,0.709,0.515,1988ø
Shy With You,Ravishing - The Best Of,Bonnie Tyler,218.6,0.709,0.515,1988ø
Send Me The Pillow,The Very Best Of,Bonnie Tyler,214.3,0.709,0.515,1993ø
Save Up All Your Tears,Ravishing - The Best Of,Bonnie Tyler,262.6,0.709,0.515,1988ø
Save Me,With Love From...,Bonnie Tyler,248.0,0.709,0.515,1991ø
Run Run Run,Bonnie Tyler Live,Bonnie Tyler,209.0,0.709,0.515,2005ø
Rebel Without A Clue,Super Hits,Bonnie Tyler,516.8,0.709,0.515,1986ø
Notes From America,Ravishing - The Best Of,Bonnie Tyler,294.6,0.709,0.515,1988ø
Need Your Love So Bad,Heart Strings,Bonnie Tyler,315.9,0.709,0.515,2003ø
My Guns Are Loaded,It's A Heartache,Bonnie Tyler,179.2,0.709,0.515,1979ø
Lovers Again,Ravishing - The Best Of,Bonnie Tyler,271.6,0.709,0.515,1986ø
Love Tangle,The World Starts Tonight,Bonnie Tyler,192.7,0.709,0.515,1977ø
Louise,Bonnie Tyler Live,Bonnie Tyler,213.9,0.709,0.515,2007ø
Lost in France,From The Heart: Greatest Hits,Bonnie Tyler,233.4,0.709,0.515,1977ø
It's A Jungle Out There,Faster Than The Speed Of Night / Secret Dreams & Forbidden Fire,Bonnie Tyler,283.0,0.709,0.515,1983ø
It's a Heartache,Wings,Bonnie Tyler,198.2,0.709,0.515,1978ø
If You Were a Woman,Bonnie Tyler Live,Bonnie Tyler,264.6,0.709,0.515,1993ø
If I Sing You A Love Song,It's A Heartache,Bonnie Tyler,284.1,0.709,0.515,1978ø
I'm Only A Lonely Child,With Love From...,Bonnie Tyler,187.3,0.709,0.515,1992ø
I'll Never Let You Down   *,All In One Voice,Bonnie Tyler,231.0,0.709,0.515,1999ø
I Won't Look Back,Wings,Bonnie Tyler,215.6,0.709,0.515,2005ø
I Put A Spell On You   ****,All In One Voice,Bonnie Tyler,278.3,0.709,0.515,1999ø
I Climb Every Mountain,The Very Best Of,Bonnie Tyler,215.8,0.709,0.515,1993ø
Holding Out For A Hero,Collections,Bonnie Tyler,348.7,0.709,0.515,1984ø
Hold Out Your Heart,Bonnie Tyler Live,Bonnie Tyler,253.9,0.709,0.515,2005ø
Hide Your Heart,The Very Best Of Bonnie Tyler,Bonnie Tyler,263.8,0.709,0.515,1988ø
Here She Comes,Bonnie Tyler Live,Bonnie Tyler,214.0,0.709,0.515,1984ø
Heaven - Radio Version,All In One Voice,Bonnie Tyler,202.1,0.709,0.515,1999ø
Heaven,It's A Heartache,Bonnie Tyler,181.9,0.709,0.515,1978ø
He's The King ***,All In One Voice,Bonnie Tyler,283.4,0.709,0.515,1999ø
Have You Ever Seen The Rain?,From The Heart: Greatest Hits,Bonnie Tyler,247.3,0.709,0.515,1983ø
Got So Used To Loving You,The World Starts Tonight,Bonnie Tyler,194.1,0.709,0.515,1977ø
Goodbye To The Island,It's A Heartache,Bonnie Tyler,188.8,0.709,0.515,1981ø
Give Me Your Love,The World Starts Tonight,Bonnie Tyler,193.1,0.709,0.515,1977ø
Getting So Excited,Faster Than The Speed Of Night,Bonnie Tyler,210.3,0.709,0.515,1989ø
From The Bottom Of My Lonely Heart,The Very Best Of,Bonnie Tyler,213.8,0.709,0.515,1993ø
