Resonance,Epic,Borknagar,267.5,0.736,0.538,2004ø
Oceans Rise,The Archaic Course,Borknagar,325.8,0.736,0.538,1998ø
Worldwide,Universal,Borknagar,418.0,0.736,0.504,2010ø
Winter Millennium,The Archaic Course,Borknagar,342.3,0.736,0.504,1998ø
White,For The Elements 1996 - 2006,Borknagar,282.7,0.736,0.504,2006ø
Universal,For The Elements 1996 - 2006,Borknagar,332.6,0.736,0.504,1998ø
Traveller,Epic,Borknagar,303.4,0.736,0.504,2004ø
To Mount And Rove,The Olden Domain,Borknagar,295.4,0.736,0.504,1997ø
The Wonder,Epic,Borknagar,257.9,0.736,0.504,2004ø
The Witching Hour,The Archaic Course,Borknagar,266.0,0.736,0.504,1998ø
The Winterway,The Olden Domain,Borknagar,470.8,0.736,0.504,1997ø
The Weight Of Wind,Epic,Borknagar,237.9,0.736,0.504,2004ø
The View Of Everlast,Empiricism,Borknagar,268.5,0.736,0.504,2001ø
The Stir of Seasons,Universal,Borknagar,240.1,0.736,0.504,2010ø
The Stellar Dome,Empiricism,Borknagar,336.9,0.736,0.504,2001ø
The Spirit Of Nature,Origin,Borknagar,179.4,0.736,0.504,2006ø
The Ruins Of Future,Quintessence,Borknagar,294.8,0.736,0.504,2000ø
The Presence Is Ominous,Quintessence,Borknagar,294.3,0.736,0.504,2000ø
The Human Nature,Origin,Borknagar,286.9,0.736,0.504,2006ø
The Genuine Pulse,Empiricism,Borknagar,291.0,0.736,0.504,2001ø
The Eye Of Odin,The Olden Domain,Borknagar,360.6,0.736,0.504,2008ø
The Dawn Of The End,The Olden Domain,Borknagar,305.2,0.736,0.504,1997ø
The Black Token,The Archaic Course,Borknagar,318.3,0.736,0.504,1998ø
The Black Canvas,Empiricism,Borknagar,318.8,0.736,0.504,2001ø
Soul Sphere,Empiricism,Borknagar,400.5,0.736,0.504,2001ø
Signs,Origin,Borknagar,76.9,0.736,0.504,2006ø
Sealed Chambers Of Electricity,Epic,Borknagar,251.5,0.736,0.504,2004ø
Rivalry Of Phantoms,Quintessence,Borknagar,276.1,0.736,0.504,2000ø
Revolt,Quintessence,Borknagar,365.1,0.736,0.504,2000ø
Relate [dialogue],Epic,Borknagar,268.5,0.736,0.504,2004ø
Reason,Universal,Borknagar,413.6,0.736,0.504,2010ø
Origin,For The Elements 1996 - 2006,Borknagar,297.3,0.736,0.504,2004ø
Om Hundrede Aar Er Alting Glemt,The Olden Domain,Borknagar,252.5,0.736,0.504,1997ø
Nocturnal Vision,The Archaic Course,Borknagar,274.4,0.736,0.504,1998ø
My Domain,Universal,Borknagar,286.8,0.736,0.504,2010ø
Matter & Motion,Empiricism,Borknagar,150.1,0.736,0.504,2001ø
Liberated,Empiricism,Borknagar,291.4,0.736,0.504,2001ø
Invincible,Quintessence,Borknagar,264.3,0.736,0.504,2000ø
Inner Ocean Hypothesis,Epic,Borknagar,310.4,0.736,0.504,2004ø
Inner Landscape,Quintessence,Borknagar,170.2,0.736,0.504,2000ø
Inherit The Earth,Empiricism,Borknagar,329.7,0.736,0.504,2001ø
Icon Dreams,Quintessence,Borknagar,272.7,0.736,0.504,2000ø
Havoc,Universal,Borknagar,401.3,0.736,0.504,2010ø
Grimland DoMayn,The Olden Domain,Borknagar,377.8,0.736,0.504,1997ø
Grains,Origin,Borknagar,221.2,0.736,0.504,2006ø
Gods Of My World,Empiricism,Borknagar,264.9,0.736,0.504,2001ø
Genesis Torn,Quintessence,Borknagar,315.0,0.736,0.504,2000ø
Future Reminiscence,Epic,Borknagar,326.3,0.736,0.504,2004ø
For a Thousand Years to Come,Universal,Borknagar,404.3,0.736,0.504,2010ø
Fleshflower,Universal,Borknagar,205.8,0.736,0.504,2010ø
Embers,Quintessence,Borknagar,85.4,0.736,0.504,2000ø
Earth Imagery,Origin,Borknagar,291.3,0.736,0.504,2006ø
Cynosure,Origin,Borknagar,174.2,0.736,0.504,2006ø
Cyclus,Epic,Borknagar,325.3,0.736,0.504,2004ø
Colossus,For The Elements 1996 - 2006,Borknagar,265.5,0.736,0.504,2000ø
Circled,Epic,Borknagar,285.4,0.736,0.504,2004ø
Ascension Of Our Fathers,The Olden Domain,Borknagar,232.9,0.736,0.504,1997ø
Ad Noctum,The Archaic Course,Borknagar,261.2,0.736,0.504,1998ø
Acclimation,Origin,Borknagar,269.8,0.736,0.504,2006ø
Abrasion Tide,Universal,Borknagar,431.9,0.736,0.504,2010ø
A Tale Of Pagan Tongue,The Olden Domain,Borknagar,372.5,0.736,0.504,1997ø
