Witchi-Tai-To,One Toke Over the Line: The Best of Brewer & Shipley,Brewer & Shipley,416.3,0.5,0.381,1970ø
The Light,One Toke Over the Line: The Best of Brewer & Shipley,Brewer & Shipley,188.8,0.5,0.381,1970ø
Tarkio Road,Hits of the 60's,Brewer & Shipley,280.4,0.5,0.381,1970ø
Shake Off The Demon,One Toke Over the Line: The Best of Brewer & Shipley,Brewer & Shipley,192.9,0.5,0.381,1989ø
Ruby On The Morning,One Toke Over the Line: The Best of Brewer & Shipley,Brewer & Shipley,137.1,0.5,0.381,1970ø
Rise Up (Easy Rider),One Toke Over the Line: The Best of Brewer & Shipley,Brewer & Shipley,195.1,0.5,0.381,1969ø
People Love Each Other,One Toke Over the Line: The Best of Brewer & Shipley,Brewer & Shipley,171.7,0.5,0.381,1969ø
One Toke Over the Line,Hits of the 60's,Brewer & Shipley,212.0,0.5,0.381,1970ø
Oh Mommy,One Toke Over the Line: The Best of Brewer & Shipley,Brewer & Shipley,183.5,0.5,0.381,1970ø
Lady Like You,One Toke Over The Line: The Best Of Brewer & Shipley,Brewer & Shipley,126.9,0.5,0.381,1969ø
Fifty States Of Freedom,One Toke Over the Line: The Best of Brewer & Shipley,Brewer & Shipley,410.1,0.5,0.381,1970ø
All Along The Watchtower,One Toke Over the Line: The Best of Brewer & Shipley,Brewer & Shipley,196.3,0.5,0.381,1969ø
