Wespenstich,Wasser kommt Wasser geht,Captain Planet,161.2,0.544,0.468,2007ø
Walbaby,Inselwissen,Captain Planet,192.4,0.544,0.468,2009ø
Vom Fass in den Regen,Inselwissen,Captain Planet,142.0,0.544,0.468,2009ø
Spreu vom Weizen,Wasser kommt Wasser geht,Captain Planet,169.2,0.544,0.468,2007ø
So Much Water So Close to Home,Wasser kommt Wasser geht,Captain Planet,167.9,0.544,0.468,2007ø
Sammeln und stapeln,Wasser kommt Wasser geht,Captain Planet,163.8,0.544,0.468,2007ø
Rambo,Inselwissen,Captain Planet,192.0,0.544,0.468,2009ø
Parkhaus,Inselwissen,Captain Planet,196.0,0.544,0.468,2009ø
Ohne Worte,Wasser kommt Wasser geht,Captain Planet,134.7,0.544,0.468,2007ø
Neues vom Ende der Schlange,Unterm Pflaster liegt der Strand,Captain Planet,156.0,0.544,0.468,2005ø
Miniaturwurzelwerk,Inselwissen,Captain Planet,177.3,0.544,0.468,2009ø
Knapp unterm Dach,Inselwissen,Captain Planet,161.4,0.544,0.468,2009ø
Hundertzwangzig Sachen,Wasser kommt Wasser geht,Captain Planet,167.0,0.544,0.468,2007ø
Hans Dampf,Inselwissen,Captain Planet,146.9,0.544,0.468,2009ø
Blick durch den Lattenrost,Inselwissen,Captain Planet,124.9,0.544,0.468,2009ø
Blattsport,Inselwissen,Captain Planet,160.5,0.544,0.468,2009ø
Baumhaus,Unterm Pflaster liegt der Strand,Captain Planet,148.6,0.544,0.468,2005ø
Ausgezeichnet,Unterm Pflaster liegt der Strand,Captain Planet,197.3,0.544,0.468,2003ø
Auftauchen um Luft zu holen,Wasser kommt Wasser geht,Captain Planet,207.7,0.544,0.468,2007ø
Abenteuer im Meta Delta,Wasser kommt Wasser geht,Captain Planet,160.6,0.544,0.468,2007ø
