Wrecked,Wrecked,Carpathian,178.7,0.699,0.46,2008ø
Who The Fuck Taught You Snaps?,Nothing To Lose,Carpathian,150.5,0.699,0.46,2006ø
The Rules Of Attraction,Nothing To Lose,Carpathian,156.3,0.699,0.46,2006ø
Suckerpunch,Nothing To Lose,Carpathian,111.9,0.699,0.46,2006ø
Six Months,Nothing To Lose,Carpathian,146.2,0.699,0.46,2006ø
Explosions,Nothing To Lose,Carpathian,130.4,0.699,0.46,2006ø
End Of The World,Nothing To Lose,Carpathian,199.3,0.699,0.46,2006ø
End Of The 1980's,Nothing To Lose,Carpathian,138.0,0.699,0.46,2006ø
Drop It Like It's Hot,Nothing To Lose,Carpathian,124.5,0.699,0.46,2006ø
Ceremony,Wrecked,Carpathian,155.4,0.699,0.46,2008ø
