Vida Facil,Ideologia,Cazuza,224.0,0.604,0.433,1988ø
Um Trem Para As Estrelas,Ideologia,Cazuza,215.3,0.604,0.433,1988ø
Quase Um Segundo,Burguesia,Cazuza,174.1,0.604,0.433,1993ø
Quando Eu Estiver Cantando,Burguesia,Cazuza,225.5,0.604,0.433,1989ø
Preconceito,Burguesia,Cazuza,191.0,0.604,0.433,1989ø
Perto Do Fogo,Burguesia,Cazuza,222.8,0.604,0.433,1989ø
Obrigado (Por Ter Se Mandado),Ideologia,Cazuza,210.6,0.604,0.433,1988ø
Nabucodonosor,Burguesia,Cazuza,260.3,0.604,0.433,1989ø
Ideologia,Ideologia,Cazuza,245.3,0.604,0.433,1988ø
Guerra Civil,Ideologia,Cazuza,200.4,0.604,0.433,1988ø
Garota De Bauru,Burguesia,Cazuza,218.4,0.604,0.433,1989ø
Faz Parte Do Meu Show,Ideologia,Cazuza,174.1,0.604,0.433,1988ø
Esse Cara,Burguesia,Cazuza,112.5,0.604,0.433,1989ø
Burguesia,Burguesia,Cazuza,334.1,0.604,0.433,1989ø
Brasil,Ideologia,Cazuza,189.8,0.604,0.433,1988ø
Boas Novas,Ideologia,Cazuza,173.7,0.604,0.433,1988ø
Blues Da Piedade,Ideologia,Cazuza,254.0,0.604,0.433,1988ø
Babylonest,Burguesia,Cazuza,172.9,0.604,0.433,1989ø
Azul E Amarelo,Burguesia,Cazuza,183.7,0.604,0.433,1989ø
