Vals De La Poltrona,Cuentame Un Cuento Y Otros Exitos,Celtas Cortos,248.9,0.608,0.394,1991ø
Un millon de motivos,40 de abril,Celtas Cortos,224.2,0.608,0.394,2008ø
Tres amigos,20 soplando versos,Celtas Cortos,204.5,0.608,0.394,2006ø
Siempre Tarde,En Estos Dias Inciertos...,Celtas Cortos,217.0,0.608,0.394,1996ø
Siempre Igual,Tranquilo Majete + 4 temas extra,Celtas Cortos,213.9,0.608,0.394,1993ø
Retales de una vida,Retales de una vida,Celtas Cortos,272.6,0.608,0.394,2008ø
Quitarte la ropa,40 de abril,Celtas Cortos,198.2,0.608,0.394,2008ø
Que Voy A Hacer Yo?,Gente Impresentable,Celtas Cortos,197.3,0.608,0.394,1990ø
Por ser de Valladolid,20 soplando versos,Celtas Cortos,273.9,0.608,0.394,2006ø
Pasa El Tiempo,Tranquilo Majete + 4 temas extra,Celtas Cortos,254.8,0.608,0.394,1993ø
Pajarico,Tienes La Puerta Abierta,Celtas Cortos,177.2,0.608,0.394,1999ø
Oasis,Tienes La Puerta Abierta,Celtas Cortos,215.4,0.608,0.394,1999ø
Le Strade,Nos Vemos En Los Bares,Celtas Cortos,314.7,0.608,0.394,1997ø
La Fragua Del Averno,Tranquilo Majete + 4 temas extra,Celtas Cortos,228.0,0.608,0.394,1993ø
Hechizo,Gente Impresentable,Celtas Cortos,199.2,0.608,0.394,1990ø
Hacha De Guerra,Nos Vemos En Los Bares,Celtas Cortos,200.2,0.608,0.394,1990ø
Gente Distinta,Tienes La Puerta Abierta,Celtas Cortos,215.1,0.608,0.394,1999ø
En Estos Dias Inciertos,En Estos Dias Inciertos...,Celtas Cortos,285.0,0.608,0.394,2001ø
El Tio Molonio,Gente Impresentable,Celtas Cortos,265.6,0.608,0.394,1990ø
El Emigrante,Nos Vemos En Los Bares,Celtas Cortos,341.4,0.608,0.394,1996ø
Doctor Orfidal,Tienes La Puerta Abierta,Celtas Cortos,218.0,0.608,0.394,1999ø
Correcaminos,Gente Impresentable,Celtas Cortos,219.1,0.608,0.394,1990ø
Calor Humano De Hierba,Tienes La Puerta Abierta,Celtas Cortos,268.1,0.608,0.394,1999ø
C'est la vie (Frances),C'est la vie,Celtas Cortos,276.5,0.608,0.394,2003ø
Beni's reel,40 de abril,Celtas Cortos,193.5,0.608,0.394,2008ø
Baila,C'est la vie,Celtas Cortos,208.2,0.708,0.394,2003ø
Amor al vino,40 de abril,Celtas Cortos,212.4,0.608,0.394,2008ø
Alicia,C'est la vie,Celtas Cortos,265.8,0.608,0.394,2003ø
Abismo (Hyperballad),40 de abril,Celtas Cortos,246.8,0.608,0.394,2008ø
A Saber,Tienes La Puerta Abierta,Celtas Cortos,234.9,0.608,0.394,1999ø
20 De Abril,Cuentame Un Cuento,Celtas Cortos,235.3,0.608,0.394,1991ø
