Slowly,Hero,Charlotte Perrelli,212.6,0.592,0.366,2008ø
Show Me a Mountain,Hero,Charlotte Perrelli,223.6,0.592,0.366,2008ø
Remedy,Hero,Charlotte Perrelli,237.1,0.592,0.366,2008ø
If You Go Back to Before,Hero,Charlotte Perrelli,175.6,0.592,0.366,2008ø
Holy Man,Hero,Charlotte Perrelli,183.0,0.592,0.366,2008ø
Hero,Hero,Charlotte Perrelli,175.6,0.592,0.366,2008ø
Bullet,Hero,Charlotte Perrelli,221.3,0.592,0.366,2008ø
Black & Blue,Hero,Charlotte Perrelli,246.0,0.592,0.366,2008ø
Appreciate,Hero,Charlotte Perrelli,191.8,0.592,0.366,2008ø
A Lot Like Love,Hero,Charlotte Perrelli,229.5,0.592,0.366,2008ø
