Utopia Para No Morirme,Trippie Town,Che Sudaka,266.8,0.593,0.404,2003ø
Too Much,Alerta Bihotza,Che Sudaka,117.7,0.593,0.404,2005ø
Taliban,Alerta Bihotza,Che Sudaka,125.6,0.593,0.404,2005ø
Sin Papeles,Trippie Town,Che Sudaka,148.5,0.593,0.404,2002ø
Salta Galera,Alerta Bihotza,Che Sudaka,173.5,0.593,0.404,2005ø
Perros De La Calle,Trippie Town,Che Sudaka,273.2,0.593,0.404,2003ø
Per La Strada,Alerta Bihotza,Che Sudaka,462.5,0.593,0.404,2005ø
No Te Voy A Adorar,Alerta Bihotza,Che Sudaka,105.9,0.593,0.404,2005ø
Lo Que Te Quiero Decir,Trippie Town,Che Sudaka,251.5,0.593,0.404,2003ø
La Guerra,Alerta Bihotza,Che Sudaka,145.1,0.593,0.404,2005ø
La Cacerola,Trippie Town,Che Sudaka,230.9,0.593,0.404,2003ø
Grito Paz,Alerta Bihotza,Che Sudaka,137.5,0.593,0.404,2005ø
El Mundo Al Reves,Trippie Town,Che Sudaka,147.1,0.593,0.404,2003ø
Cosmopolitan Time,Trippie Town,Che Sudaka,267.3,0.593,0.404,2003ø
Bihotza,Alerta Bihotza,Che Sudaka,160.5,0.593,0.404,2005ø
Bam*Bam,Alerta Bihotza,Che Sudaka,160.6,0.593,0.404,2005ø
Amores - Trenecillo,Alerta Bihotza,Che Sudaka,211.8,0.593,0.404,2005ø
Alerta Bihotza,Alerta Bihotza,Che Sudaka,121.9,0.593,0.404,2005ø
A Decir,Alerta Bihotza,Che Sudaka,151.5,0.593,0.404,2005ø
