What Will I Do,The Best Of Clannad,Clannad,330.9,0.481,0.485,1999ø
Dobhar,Anam,Clannad,159.6,0.685,0.485,1990ø
Coinleach Glas an Fhomhair,Magical Ring,Clannad,385.5,0.685,0.485,1983ø
World Of Difference,Sirius,Clannad,245.7,0.685,0.456,1987ø
Two Sisters,An Diolaim,Clannad,252.6,0.685,0.456,1976ø
Trail Of Tears,Lore,Clannad,318.0,0.685,0.456,1996ø
Tower Hill,Magical Ring,Clannad,232.1,0.685,0.456,1983ø
There For You,Magic Elements - The Best Of Clannad,Clannad,251.9,0.685,0.456,1993ø
Theme From Harry's Game,Magical Ring,Clannad,151.0,0.685,0.456,1983ø
The Wild Cry,Macalla,Clannad,280.7,0.685,0.456,1985ø
The Other Side,Banba,Clannad,257.6,0.685,0.456,1993ø
The Kirk Pride,Atlantic Realm,Clannad,80.0,0.685,0.456,1989ø
The Galtee Hunt,An Diolaim,Clannad,189.7,0.685,0.456,1976ø
Sunset Dreams,Banba,Clannad,252.2,0.685,0.456,1993ø
Struggle,Banba,Clannad,244.1,0.685,0.456,1993ø
Strange Land,Legend,Clannad,191.2,0.685,0.456,1984ø
Stepping Stone,Sirius,Clannad,232.0,0.685,0.456,1987ø
Soul Searcher,3 Originals,Clannad,264.4,0.685,0.456,1993ø
Something To Believe In,Greatest Hits,Clannad,283.1,0.685,0.456,1987ø
Skellig,Sirius,Clannad,287.0,0.685,0.456,1987ø
Second Nature,Sirius,Clannad,199.7,0.685,0.456,1987ø
Seanchas,Lore,Clannad,294.7,0.685,0.456,1996ø
Robin (The Hooded Man),Legend,Clannad,169.4,0.685,0.456,1984ø
Ri Na Cruinne,Anam,Clannad,287.5,0.685,0.456,2008ø
Primeval Sun,Atlantic Realm,Clannad,71.6,0.685,0.456,1989ø
Predator,Atlantic Realm,Clannad,183.9,0.685,0.456,1989ø
Poison Glen,Anam,Clannad,235.7,0.685,0.456,1990ø
Passing Time,Magical Ring,Clannad,224.8,0.685,0.456,1983ø
Ocean Of Light,Atlantic Realm,Clannad,212.4,0.685,0.456,1989ø
Now Is Here,Legend,Clannad,212.1,0.685,0.456,1984ø
Northern Skyline,Macalla,Clannad,303.2,0.685,0.456,1985ø
Newgrange,Celtic Themes - The Very Best Of,Clannad,246.8,0.685,0.456,1983ø
Moving Thru,Atlantic Realm,Clannad,191.1,0.685,0.456,1989ø
Many Roads,Greatest Hits,Clannad,204.2,0.685,0.456,1987ø
Love And Affection,Anam,Clannad,299.6,0.685,0.456,1990ø
Lady Marian,Past Present,Clannad,201.5,0.685,0.456,1984ø
Indoor,Macalla,Clannad,235.2,0.685,0.456,1985ø
In Fortune's Hand,Anam,Clannad,235.3,0.685,0.456,1990ø
In Flight,Atlantic Realm,Clannad,187.2,0.685,0.456,1989ø
"I Will Find You (Theme From ""The Last Of The Mohicans"")",The Best Of Clannad,Clannad,319.1,0.685,0.456,2008ø
I Will Find You,Banba,Clannad,222.2,0.685,0.456,1992ø
From Your Heart,Lore,Clannad,312.9,0.685,0.456,1996ø
Fonn Mharta,Lore,Clannad,212.4,0.685,0.456,1996ø
Farewell Love,Lore,Clannad,282.7,0.685,0.456,1996ø
Fairly Shot Of Her,An Diolaim,Clannad,141.8,0.685,0.456,1974ø
Eleanor Plunkett,An Diolaim,Clannad,170.3,0.685,0.456,1974ø
Dealramh Go Deo,Lore,Clannad,302.6,0.685,0.456,1995ø
Darkmere,Legend,Clannad,119.6,0.685,0.456,1984ø
Croi Croga,Lore,Clannad,358.7,0.685,0.456,1996ø
Christmas Angels,The Best Of Clannad,Clannad,260.1,0.685,0.456,1997ø
Caislean Oir,Macalla,Clannad,128.5,0.685,0.456,1999ø
Broken Pieces,Lore,Clannad,291.6,0.685,0.456,1996ø
Blackstairs,Macalla,Clannad,254.9,0.685,0.456,1985ø
Battles,Legend,Clannad,62.8,0.685,0.456,1984ø
Banba Oir,Banba,Clannad,207.0,0.685,0.456,1993ø
Atlantic Realm,Atlantic Realm,Clannad,229.5,0.685,0.456,1989ø
Almost Seems (Too Late To Turn),Songbook,Clannad,288.7,0.685,0.456,1985ø
A Dream In The Night,The Best Of Clannad,Clannad,188.3,0.685,0.456,1996ø
A Bridge (That Carries Us Over),Lore,Clannad,269.6,0.685,0.456,1996ø
Wilderness,Anam,Clannad,127.0,0.685,0.447,1990ø
White Fool,Past Present,Clannad,278.1,0.685,0.447,1987ø
Voyager,Atlantic Realm,Clannad,200.3,0.685,0.447,1989ø
Under Neptune's Cape,Atlantic Realm,Clannad,199.1,0.685,0.447,1989ø
Together We,Celtic Themes - The Very Best Of,Clannad,210.8,0.685,0.447,1984ø
Live And Learn,Sirius,Clannad,214.2,0.685,0.447,1987ø
In Search Of A Heart,Sirius,Clannad,235.2,0.685,0.447,1987ø
Closer To Your Heart,Past Present,Clannad,209.2,0.685,0.447,1985ø
An Gleann,Landmarks,Clannad,290.4,0.685,0.447,1997ø
