Unaware,Structures,Colony 5,220.7,0.538,0.405,2003ø
Trackers,Colonisation [extended],Colony 5,238.4,0.538,0.405,2002ø
There'll Be Time,Buried Again,Colony 5,257.3,0.538,0.405,2008ø
The Zone,Structures,Colony 5,288.8,0.538,0.405,2003ø
Symphony Of Hope [ampmix],Refixed,Colony 5,264.3,0.538,0.405,2005ø
Symphony Of Hope,Fixed,Colony 5,264.0,0.538,0.405,2005ø
She's A Planet,Structures,Colony 5,245.4,0.538,0.405,2003ø
Science,Colonisation [extended],Colony 5,286.7,0.538,0.405,2003ø
Reinforcements,Structures,Colony 5,287.7,0.538,0.405,2003ø
Plastic World [c5 Single Edit],Plastic World,Colony 5,239.1,0.538,0.405,2005ø
Plastic World [ampmix],Refixed,Colony 5,305.7,0.538,0.405,2005ø
Pills,Buried Again,Colony 5,282.5,0.538,0.405,2008ø
Misery,Fixed,Colony 5,269.2,0.538,0.405,2005ø
Liquid Love,Lifeline,Colony 5,276.4,0.538,0.405,2000ø
Like Leaves [ampmix],Refixed,Colony 5,224.0,0.538,0.405,2005ø
Last Man On Earth,Fixed,Colony 5,216.9,0.538,0.405,2005ø
Knives [schallfaktor Remix],Knives,Colony 5,308.6,0.538,0.405,2007ø
Knives,Knives,Colony 5,279.7,0.538,0.405,2007ø
It Was Only A Dream,Structures,Colony 5,239.8,0.538,0.405,2003ø
God,Structures,Colony 5,208.4,0.538,0.405,2003ø
Future,Structures,Colony 5,268.6,0.538,0.405,2003ø
Fusion [ampmix],Refixed,Colony 5,227.9,0.538,0.405,2005ø
Fusion,Fixed,Colony 5,205.8,0.538,0.405,2005ø
Follow Your Heart [memphis Remix],Follow Your Heart,Colony 5,344.0,0.538,0.405,2002ø
Follow Your Heart [hyperheart Mix],Follow Your Heart,Colony 5,315.0,0.538,0.405,2002ø
Follow Your Heart [frequently Followed Mix],Follow Your Heart,Colony 5,207.2,0.538,0.405,2002ø
Follow Your Heart [beyond Mix],Follow Your Heart,Colony 5,460.8,0.538,0.405,2002ø
Follow Your Heart,Colonisation [extended],Colony 5,265.5,0.538,0.405,2003ø
Fix [soft Remix],Fixed,Colony 5,219.3,0.538,0.405,2005ø
Fix [ampmix],Refixed,Colony 5,231.9,0.538,0.405,2005ø
Fanatic,Buried Again,Colony 5,249.7,0.538,0.405,2008ø
Fallen Star,Fixed,Colony 5,260.7,0.538,0.405,2005ø
Crackhead,Lifeline,Colony 5,267.0,0.538,0.405,2002ø
Colony 5 [elegant Mix],Colony 5,Colony 5,408.4,0.538,0.405,2002ø
Colony 5 (Cosmonaut Mix),Lifeline,Colony 5,381.8,0.538,0.405,2002ø
Colony 5,Colonisation [extended],Colony 5,259.1,0.538,0.405,2001ø
Black [suess Remix],Black,Colony 5,228.2,0.538,0.405,2003ø
Black (single Edit),Colonisation [extended],Colony 5,210.3,0.538,0.405,2003ø
Black (club Edit),Colonisation [extended],Colony 5,231.7,0.538,0.405,2003ø
Big Brothel [necro Facility Remix],Fixed,Colony 5,230.8,0.538,0.405,2005ø
Big Brothel [ampmix],Refixed,Colony 5,209.6,0.538,0.405,2005ø
Big Brothel,Fixed,Colony 5,229.5,0.538,0.405,2005ø
A Test,Plastic World,Colony 5,271.3,0.538,0.405,2005ø
A New World Arise [ampmix],Refixed,Colony 5,221.3,0.538,0.405,2005ø
20th Century Plague [ampmix],Refixed,Colony 5,210.1,0.538,0.405,2005ø
