Your Light (Album Version),Connie Smith,Connie Smith,191.1,0.497,0.365,1965ø
You Can't Take Back A Teardrop (Album Version),Connie Smith,Connie Smith,167.6,0.497,0.365,1965ø
When It Comes To You (Album Version),Connie Smith,Connie Smith,171.4,0.497,0.365,1965ø
Then And Only Then,The Best Of Connie Smith - Once A Day,Connie Smith,145.8,0.497,0.365,1965ø
The Hurtin's All Over,The Best Of Connie Smith - Once A Day,Connie Smith,165.7,0.497,0.365,1991ø
Once A Day,Once A Day,Connie Smith,157.0,0.497,0.365,1965ø
Nobody But A Fool (Would Love You),The Essential Connie Smith,Connie Smith,148.5,0.497,0.365,2001ø
Love's Not Everything (Album Version),Connie Smith,Connie Smith,181.3,0.497,0.365,1965ø
Looking For A Reason (Album Version),Connie Smith,Connie Smith,244.7,0.497,0.365,1965ø
Lonesome (Album Version),Connie Smith,Connie Smith,202.2,0.497,0.365,1965ø
Just Let Me Know (Album Version),Connie Smith,Connie Smith,181.0,0.497,0.365,1965ø
If I Talk To Him,The Best Of Connie Smith - Once A Day,Connie Smith,148.1,0.497,0.365,2001ø
I'll Come Running,The Essential Connie Smith,Connie Smith,125.7,0.497,0.365,2001ø
How Long (Album Version),Connie Smith,Connie Smith,189.3,0.497,0.365,1965ø
Hearts Like Ours (Album Version),Connie Smith,Connie Smith,218.3,0.497,0.365,1965ø
Burning A Hole In My Mind,The Essential Connie Smith,Connie Smith,142.2,0.497,0.365,2001ø
Ain't Had No Lovin',The Essential Connie Smith,Connie Smith,137.5,0.497,0.365,2001ø
A Tale Fom Tahrarrie (Album Version),Connie Smith,Connie Smith,321.0,0.497,0.365,1965ø
