Walkaways,Across A Wire - Live From New York,Counting Crows,110.3,0.779,0.592,1996ø
Shallow Days,August & Everything After - Deluxe Edition,Counting Crows,285.7,0.779,0.592,1991ø
Round Here,Across A Wire - Live From New York,Counting Crows,377.0,0.779,0.592,1991ø
Richard Manuel Is Dead,New Amsterdam Live At Heineken Music Hall February 6_ 2003,Counting Crows,236.7,0.779,0.592,2006ø
Return Of The Grievous Angel,If I Could Give All My Love,Counting Crows,262.2,0.779,0.592,2003ø
Rain King,Across A Wire - Live From New York,Counting Crows,322.7,0.779,0.592,1991ø
Monkey,Recovering The Satellites,Counting Crows,181.3,0.779,0.592,1996ø
Miami,New Amsterdam Live At Heineken Music Hall February 6_ 2003,Counting Crows,311.2,0.779,0.592,2002ø
Love And Addiction,August & Everything After - Deluxe Edition,Counting Crows,262.6,0.779,0.592,1991ø
Los Angeles,Saturday Nights & Sunday Mornings,Counting Crows,280.7,0.779,0.592,2008ø
Le Ballet d'Or,Saturday Nights & Sunday Mornings,Counting Crows,300.2,0.779,0.592,2008ø
I'm Not Sleeping,Recovering The Satellites,Counting Crows,295.5,0.779,0.592,1996ø
Holiday In Spain,Holiday In Spain,Counting Crows,283.6,0.779,0.592,2002ø
Hanginaround,Films About Ghosts (The Best Of Counting Crows),Counting Crows,252.8,0.827,0.592,1999ø
Goodnight L.A.,New Amsterdam Live At Heineken Music Hall February 6_ 2003,Counting Crows,268.9,0.779,0.592,2002ø
Friend Of The Devil,She Don't Want Nobody Near,Counting Crows,277.6,0.779,0.592,2003ø
Cowboys,Saturday Nights & Sunday Mornings,Counting Crows,323.0,0.779,0.592,2008ø
Chelsea,Across A Wire - Live From New York,Counting Crows,375.5,0.779,0.592,1998ø
Carriage,Hard Candy,Counting Crows,242.0,0.779,0.592,2002ø
Amie,Big Yellow Taxi,Counting Crows,269.0,0.779,0.592,2003ø
A Murder Of One,August & Everything After - Deluxe Edition,Counting Crows,343.0,0.779,0.592,1993ø
A Long December,Recovering The Satellites,Counting Crows,295.1,0.827,0.592,1996ø
Mr. Jones,Films About Ghosts (The Best Of Counting Crows),Counting Crows,272.8,0.779,0.566,1991ø
