Your Emotions,Fresh Fruit For Rotting Vegetables (Digital Version),Dead Kennedys,79.5,0.737,0.539,1980ø
Winnebago Warrior,Plastic Surgery Disasters/In God We Trust_ Inc.,Dead Kennedys,128.7,0.737,0.539,1982ø
Where Do ya Draw the Line,Bedtime For Democracy,Dead Kennedys,159.1,0.737,0.539,1986ø
When Ya Get Drafted,Fresh Fruit For Rotting Vegetables (Digital Version),Dead Kennedys,82.7,0.737,0.539,1980ø
Well Paid Scientist,Plastic Surgery Disasters/In God We Trust_ Inc.,Dead Kennedys,142.1,0.737,0.539,1982ø
Viva Las Vegas,Live At The Deaf Club,Dead Kennedys,211.6,0.737,0.539,1980ø
Trust Your Mechanic,Plastic Surgery Disasters/In God We Trust_ Inc.,Dead Kennedys,175.7,0.737,0.539,1982ø
Triumph of the Swill,Bedtime For Democracy,Dead Kennedys,137.4,0.737,0.539,1986ø
Too Drunk to Fuck,Punk On Her Face: The Punk Valentines Album,Dead Kennedys,158.6,0.737,0.539,1981ø
This Could Be Anywhere,Mutiny on the Bay,Dead Kennedys,262.4,0.737,0.539,2001ø
The Prey,Give Me Convenience or Give Me Death,Dead Kennedys,228.5,0.737,0.539,1981ø
The Man with the Dogs,Give Me Convenience or Give Me Death,Dead Kennedys,182.0,0.737,0.539,1979ø
The Great Wall,Bedtime For Democracy,Dead Kennedys,92.7,0.737,0.539,1986ø
Terminal Preppie,Plastic Surgery Disasters/In God We Trust_ Inc.,Dead Kennedys,90.4,0.737,0.539,1982ø
Take This Job and Shove It,Bedtime For Democracy,Dead Kennedys,85.4,0.737,0.539,1986ø
Straight A's,Give Me Convenience or Give Me Death,Dead Kennedys,132.9,0.737,0.539,1980ø
Shrink,Bedtime For Democracy,Dead Kennedys,104.8,0.737,0.539,1986ø
Saturday Night Holocaust,Give Me Convenience or Give Me Death,Dead Kennedys,260.3,0.737,0.539,1982ø
Riot,Mutiny on the Bay,Dead Kennedys,450.6,0.737,0.539,1982ø
Religious Vomit,Plastic Surgery Disasters/In God We Trust_ Inc.,Dead Kennedys,64.6,0.737,0.539,1981ø
Rawhide,Plastic Surgery Disasters/In God We Trust_ Inc.,Dead Kennedys,133.4,0.737,0.539,1981ø
Rambozo the Clown,Bedtime For Democracy,Dead Kennedys,145.3,0.737,0.539,1986ø
Pull My Strings,Give Me Convenience or Give Me Death,Dead Kennedys,352.7,0.737,0.539,1987ø
Potshot Heard 'Round The World,Bedtime For Democracy,Dead Kennedys,130.5,0.737,0.539,1986ø
Police Truck,Milking The Sacred Cow,Dead Kennedys,146.0,0.737,0.539,1980ø
One Way Ticket To Pluto,Bedtime For Democracy,Dead Kennedys,98.4,0.737,0.539,1986ø
Night of the Living Rednecks,Give Me Convenience or Give Me Death,Dead Kennedys,310.1,0.737,0.539,1987ø
MTV-Get Off the Air,Mutiny on the Bay,Dead Kennedys,254.2,0.737,0.539,2001ø
MTV Get Off The Air,Milking The Sacred Cow,Dead Kennedys,218.4,0.737,0.539,1984ø
