Wir sind bereit,Reich & Sexy,Die Toten Hosen,114.9,0.748,0.56,1982ø
Vom Surfen und vom Saufen,Unter falscher Flagge,Die Toten Hosen,169.2,0.748,0.56,1985ø
Tout Pour Sauver L'Amour,Reich & Sexy II,Die Toten Hosen,270.2,0.748,0.56,2002ø
The Fly,Crash Landing,Die Toten Hosen,120.8,0.748,0.56,1999ø
Runaway Train Driver,Crash Landing,Die Toten Hosen,190.6,0.748,0.56,2002ø
Radio Argentina #2,Crash Landing,Die Toten Hosen,30.2,0.748,0.56,2007ø
No Escape,Crash Landing,Die Toten Hosen,212.5,0.748,0.56,1998ø
Niemals einer Meinung,Kauf Mich!,Die Toten Hosen,224.5,0.748,0.56,1993ø
Love Machine,Love_ Peace & Money,Die Toten Hosen,198.7,0.748,0.56,1994ø
Liebeslied,Reich & Sexy,Die Toten Hosen,220.1,0.748,0.56,1987ø
La historia del Pescador Pepe,Unter falscher Flagge,Die Toten Hosen,196.8,0.748,0.56,1985ø
Knecht Ruprecht's letzte Fahrt,Opel-Gang,Die Toten Hosen,226.1,0.748,0.56,1983ø
Hip Hop Bommi Bop,Unter falscher Flagge,Die Toten Hosen,266.0,0.748,0.56,1983ø
Hier kommt Alex,Crash Landing,Die Toten Hosen,129.5,0.748,0.56,1988ø
Helden und Diebe,Unsterblich,Die Toten Hosen,363.0,0.748,0.56,1999ø
Happy Metal Part 2 (Allegro),Bis zum bitteren Ende,Die Toten Hosen,38.7,0.748,0.56,1987ø
Es ist vorbei,Unter falscher Flagge,Die Toten Hosen,147.5,0.748,0.56,1984ø
Ein Witz,Reich & Sexy II,Die Toten Hosen,175.1,0.748,0.56,1996ø
Disco,Machmalauter: Die Toten Hosen - Live!,Die Toten Hosen,183.9,0.748,0.56,2008ø
Der Schandfleck,Unter falscher Flagge,Die Toten Hosen,162.8,0.748,0.56,1984ø
Der Bofrost Mann,Unplugged im Wiener Burgtheater,Die Toten Hosen,161.5,0.748,0.56,2005ø
Carnival In Rio (Punk Was),Bis zum bitteren Ende,Die Toten Hosen,186.2,0.748,0.56,1991ø
Call Of The Wild,Unsterblich,Die Toten Hosen,202.8,0.748,0.56,1999ø
Blitzkrieg Bop,Crash Landing,Die Toten Hosen,99.9,0.748,0.56,1991ø
Betrunken im Dienst,Unter falscher Flagge,Die Toten Hosen,139.1,0.748,0.56,1984ø
Beautiful Day,Crash Landing,Die Toten Hosen,203.4,0.748,0.56,1999ø
Aufgeben (gilt nicht),Damenwahl,Die Toten Hosen,299.0,0.748,0.56,2007ø
Abitur,Reich & Sexy II,Die Toten Hosen,116.5,0.748,0.56,1990ø
Halbstark,Reich & Sexy,Die Toten Hosen,152.9,0.474,0.413,1987ø
