Reggaeton Latino,Reggaeton Latino,Don Omar,197.0,0.892,0.614,2005ø
Jangueo,King Of Kings,Don Omar,233.5,0.892,0.614,2006ø
Intocable,DIle/Provocandome/Intocable,Don Omar,105.2,0.892,0.614,2004ø
Virtual Diva,Virtual Diva,Don Omar,242.7,0.892,0.584,2009ø
Tu No Sabes,King Of Kings,Don Omar,194.9,0.892,0.584,2006ø
Salio El Sol,King Of Kings,Don Omar,315.4,0.892,0.584,2006ø
Infieles,King Of Kings,Don Omar,264.7,0.788,0.584,2006ø
Dile,Da Hit Man Presents.....,Don Omar,204.6,0.892,0.584,2003ø
Cuentale,King Of Kings,Don Omar,261.4,0.892,0.584,2006ø
Conteo,The Fast And The Furious: Tokyo Drift,Don Omar,196.3,0.892,0.584,2006ø
Bomba,King Of Kings,Don Omar,171.4,0.788,0.584,2006ø
Bailando Sola,King Of Kings,Don Omar,177.2,0.892,0.584,2006ø
Angelito,King Of Kings,Don Omar,285.0,0.892,0.584,2006ø
Amarga Vida,King Of Kings,Don Omar,179.5,0.892,0.584,2006ø
