The Golden Legend (Take Me Dancing Where the Mountains Meet the Sea Mix),A New Chapter In Dub Vol. 2 The Secret Language of Ordinary Objects,Dub Trees,448.9,0.535,0.373,2004ø
Return Of The Native (Duir the Oak Dub),Nature Never Did Betray The Heart That Loved Her,Dub Trees,365.2,0.535,0.373,2000ø
Orpheus (Urban Primitive Dub Mix),Nature Never Did Betray The Heart That Loved Her,Dub Trees,432.8,0.535,0.373,2000ø
Mountain Dub,Illuminations,Dub Trees,367.4,0.535,0.373,2006ø
Magnetica (The Love That Moves The Sun And Stars Mix),Nature Never Did Betray The Heart That Loved Her,Dub Trees,481.8,0.535,0.373,2000ø
La Rosa (Live While You Live),Nature Never Did Betray The Heart That Loved Her,Dub Trees,156.3,0.535,0.373,2000ø
Freaks Of Nature (Natural Dub Mix),Nature Never Did Betray The Heart That Loved Her,Dub Trees,243.7,0.535,0.373,2000ø
Dreamlab (Telescopic Dub Mix),Nature Never Did Betray The Heart That Loved Her,Dub Trees,434.3,0.535,0.373,2000ø
Concrete Tourist (Chalice Dub Mix),Nature Never Did Betray The Heart That Loved Her,Dub Trees,315.4,0.535,0.373,2000ø
Cobalt Waterfall (Opalescent dawn mix),Nature Never Did Betray The Heart That Loved Her,Dub Trees,150.7,0.535,0.373,2000ø
A Way Of Being Free (are you sitting comfortably very smooth_ very peaceful mix),Nature Never Did Betray The Heart That Loved Her,Dub Trees,334.1,0.535,0.373,2000ø
