Yuppy Hipster,Ameritown,Eastern Conference Champions,302.7,0.574,0.452,2007ø
The Box,The Box,Eastern Conference Champions,236.4,0.574,0.452,2007ø
Stutter,Ameritown,Eastern Conference Champions,192.1,0.574,0.452,2007ø
Some Sorta Light,Ameritown,Eastern Conference Champions,252.8,0.574,0.452,2007ø
Single Sedative,Ameritown,Eastern Conference Champions,165.8,0.574,0.452,2007ø
Rabbit Hole,Ameritown,Eastern Conference Champions,305.6,0.574,0.452,2007ø
Pitch A Fit,Ameritown,Eastern Conference Champions,185.3,0.574,0.452,2007ø
Noah,Ameritown,Eastern Conference Champions,213.8,0.574,0.452,2007ø
Nice Clean Shirt,Ameritown,Eastern Conference Champions,179.2,0.574,0.452,2007ø
Navy Man,Ameritown,Eastern Conference Champions,198.4,0.574,0.452,2007ø
Ameritown,Ameritown,Eastern Conference Champions,264.3,0.574,0.452,2007ø
