Zydeco Lady,20 Favorites,Eddy Raven,201.4,0.465,0.345,2004ø
YOU SHOULD'VE BEEN GONE BY NOW,LIVE IN CONCERT,Eddy Raven,201.2,0.465,0.345,1995ø
SHE'S GONNA WIN YOUR HEART,LIVE IN CONCERT,Eddy Raven,246.5,0.465,0.345,1984ø
JOE KNOWS HOW TO LIVE,LIVE IN CONCERT,Eddy Raven,225.4,0.465,0.345,1995ø
IN A LETTER TO YOU,LIVE IN CONCERT,Eddy Raven,196.4,0.465,0.345,2002ø
I'M GONNA GET YOU,LIVE IN CONCERT,Eddy Raven,137.1,0.465,0.345,1995ø
I WANNA HEAR IT FROM YOU,LIVE IN CONCERT,Eddy Raven,204.9,0.465,0.345,1995ø
I GOT MEXICO,LIVE IN CONCERT,Eddy Raven,149.4,0.465,0.345,1984ø
I COULD USE ANOTHER YOU,LIVE IN CONCERT,Eddy Raven,223.3,0.465,0.345,1984ø
Bayou Boys,20 Favorites,Eddy Raven,167.9,0.465,0.345,2000ø
