Your Lucky Day In Hell,Beautiful Freak,Eels,266.8,0.762,0.575,1996ø
Wrong About Bobby,Shootenanny,Eels,142.3,0.762,0.575,2003ø
World of Shit,Eels,Eels,208.8,0.762,0.575,2001ø
Whatever Happened To Soy Bomb,Blinking Lights And Other Revelations,Eels,146.5,0.762,0.575,2005ø
What's A Fella Gotta Do,Hombre Lobo,Eels,204.9,0.762,0.575,2009ø
Waltz Of The Naked Clowns,Useless Trinkets-B Sides_ Soundtracks_ Rarieties and Unreleased 1996-2006,Eels,167.6,0.762,0.575,2005ø
Walking Cloud,End Times,Eels,141.5,0.762,0.575,2010ø
Vice President Fruitley,Useless Trinkets-B Sides_ Soundtracks_ Rarieties and Unreleased 1996-2006,Eels,136.3,0.762,0.575,2000ø
Trouble With Dreams,Blinking Lights And Other Revelations,Eels,274.2,0.803,0.575,2005ø
Tiger In My Tank,Daisies of the Galaxy,Eels,186.0,0.762,0.575,1999ø
Theme From Blinking Lights,Blinking Lights And Other Revelations,Eels,104.3,0.762,0.575,2005ø
Theme For A Pretty Girl That Makes You Believe God Exists,Blinking Lights And Other Revelations,Eels,125.2,0.762,0.575,2005ø
The Stars Shine In The Sky Tonight,Blinking Lights And Other Revelations,Eels,211.0,0.762,0.575,2005ø
The Medication Is Wearing Off,Electro-Shock Blues,Eels,231.8,0.762,0.575,1998ø
The Man Who Didn't Know He'd Lost His Mind,End Times,Eels,156.4,0.762,0.575,2010ø
The Bright Side,Hey Man (Now You're Really Living),Eels,220.1,0.762,0.575,2005ø
That's Not Really Funny,Souljacker - Limited Edition,Eels,198.3,0.803,0.575,2001ø
That Look You Give That Guy,Hombre Lobo,Eels,255.3,0.803,0.575,2009ø
Susan's House,Beautiful Freak,Eels,223.8,0.762,0.575,1996ø
Spunky,Beautiful Freak,Eels,191.3,0.762,0.575,1996ø
Souljacker Part I,Electro-Shock Blues Show,Eels,270.7,0.762,0.575,2002ø
Son Of A Bitch,Blinking Lights And Other Revelations,Eels,147.3,0.803,0.575,2005ø
Something Is Sacred,Daisies of the Galaxy,Eels,172.6,0.762,0.575,1999ø
Saturday Morning,Meet The EELS: Essential EELS 1996-2006 Vol. 1,Eels,174.9,0.762,0.575,2003ø
Sad Foot Sign,Useless Trinkets-B Sides_ Soundtracks_ Rarieties and Unreleased 1996-2006,Eels,139.5,0.762,0.575,2005ø
Rotten World Blues,Useless Trinkets-B Sides_ Soundtracks_ Rarieties and Unreleased 1996-2006,Eels,165.3,0.762,0.575,2002ø
Restraining Order Blues,Shootenanny,Eels,189.1,0.762,0.575,2003ø
Prizefighter,Hombre Lobo,Eels,173.2,0.762,0.575,2009ø
P.S. You Rock My World,Electro-Shock Blues,Eels,188.7,0.762,0.575,1998ø
On My Feet,End Times,Eels,373.3,0.762,0.575,2010ø
Novocaine For The Soul,Indie Anthems,Eels,188.3,0.762,0.575,1996ø
Not Ready Yet,Beautiful Freak,Eels,286.9,0.762,0.575,1996ø
My Descent Into Madness,Electro-Shock Blues,Eels,234.6,0.762,0.575,1998ø
My Beloved Monstrosity,Useless Trinkets-B Sides_ Soundtracks_ Rarieties and Unreleased 1996-2006,Eels,131.7,0.762,0.575,2001ø
My Beloved Monster,Beautiful Freak,Eels,132.2,0.762,0.575,1996ø
Mother Mary,Blinking Lights And Other Revelations,Eels,201.8,0.762,0.575,2005ø
Mighty Fine Blues,Useless Trinkets-B Sides_ Soundtracks_ Rarieties and Unreleased 1996-2006,Eels,205.0,0.762,0.575,2003ø
Mansions Of Los Feliz,End Times,Eels,166.2,0.762,0.575,2010ø
Love Of The Loveless,Queer As Folk - The Fourth Season,Eels,211.5,0.762,0.575,2003ø
Lone Wolf,Shootenanny,Eels,164.1,0.762,0.575,2003ø
Last Time We Spoke,Blinking Lights And Other Revelations,Eels,142.5,0.762,0.575,2005ø
Jungle Telegraph,Souljacker - Limited Edition,Eels,218.5,0.762,0.575,2001ø
Jehovah's Witness,Souljacker - Limited Edition,Eels,219.0,0.762,0.575,2001ø
In My Dreams,Hombre Lobo,Eels,202.4,0.762,0.575,2009ø
I Write The B-Sides,Souljacker - Limited Edition,Eels,235.2,0.762,0.575,2001ø
I Want To Protect You,Useless Trinkets-B Sides_ Soundtracks_ Rarieties and Unreleased 1996-2006,Eels,189.9,0.762,0.575,2008ø
I Put A Spell On You,Useless Trinkets-B Sides_ Soundtracks_ Rarieties and Unreleased 1996-2006,Eels,136.8,0.762,0.575,2008ø
I Need Some Sleep,Meet The EELS: Essential EELS 1996-2006 Vol. 1,Eels,148.2,0.762,0.575,2004ø
I Need A Mother,End Times,Eels,158.0,0.762,0.575,2010ø
Guest List,Beautiful Freak,Eels,193.3,0.762,0.575,1996ø
Gone Man,End Times,Eels,177.7,0.762,0.575,2010ø
Going to Your Funeral Part II,Electro-Shock Blues,Eels,90.2,0.762,0.575,1998ø
Flower,Useless Trinkets-B Sides_ Soundtracks_ Rarieties and Unreleased 1996-2006,Eels,196.5,0.762,0.575,1996ø
Fingertips Part III,Electro-Shock Blues Show,Eels,80.4,0.762,0.575,2002ø
Eyes Down,Useless Trinkets-B Sides_ Soundtracks_ Rarieties and Unreleased 1996-2006,Eels,211.1,0.762,0.575,2003ø
Everything's Gonna Be Cool This Christmas,Electro-Shock Blues Show,Eels,177.9,0.762,0.575,1998ø
Estate Sale,Daisies of the Galaxy,Eels,99.4,0.762,0.575,1999ø
End Times,End Times,Eels,176.6,0.762,0.575,2010ø
Efils' God,Electro-Shock Blues,Eels,199.7,0.762,0.575,1998ø
Dog's Life,Useless Trinkets-B Sides_ Soundtracks_ Rarieties and Unreleased 1996-2006,Eels,238.4,0.762,0.575,1998ø
Dog Faced Boy,Useless Trinkets-B Sides_ Soundtracks_ Rarieties and Unreleased 1996-2006,Eels,173.5,0.762,0.575,2001ø
Dirty Girl,Meet The EELS: Essential EELS 1996-2006 Vol. 1,Eels,180.4,0.762,0.575,2003ø
