You Better Leave the Stars Alone,Neil Gaiman - Where's Neil When You Need Him?,Ego Likeness,267.0,0.582,0.42,2006ø
World of Shame,The Order of the Reptile,Ego Likeness,337.5,0.582,0.42,2006ø
Wolves,Water To The Dead,Ego Likeness,242.5,0.582,0.42,2004ø
Weave,The Order of the Reptile,Ego Likeness,258.1,0.582,0.42,2006ø
Water To The Dead,Water To The Dead,Ego Likeness,254.4,0.582,0.42,2004ø
Traveling Son,Water To The Dead,Ego Likeness,455.0,0.582,0.42,2004ø
Thirty-Year War,Breedless,Ego Likeness,330.7,0.582,0.42,2010ø
The Queen Of All Things Taken,Breedless,Ego Likeness,272.0,0.582,0.42,2010ø
The Lowest Place On Earth,Breedless,Ego Likeness,290.8,0.582,0.42,2010ø
The Foolish Man Who Has No Home,The Order of the Reptile,Ego Likeness,254.0,0.582,0.42,2006ø
The Devils In The Chemicals,Breedless,Ego Likeness,250.3,0.582,0.42,2010ø
South,Breedless,Ego Likeness,277.5,0.582,0.42,2007ø
Song For Samael,Breedless,Ego Likeness,274.7,0.582,0.42,2010ø
Smothered,The Order of the Reptile,Ego Likeness,252.3,0.582,0.42,2006ø
Sirens And Satellites,Breedless,Ego Likeness,329.8,0.582,0.42,2010ø
Severine,The Order of the Reptile,Ego Likeness,231.0,0.582,0.42,2006ø
Seventy-Nine,The Order of the Reptile,Ego Likeness,295.0,0.582,0.42,2006ø
Save Your Serpent...---...,The Order of the Reptile,Ego Likeness,449.5,0.582,0.42,2006ø
Raise Your Red Flags,The Order of the Reptile,Ego Likeness,299.0,0.582,0.42,2006ø
Now Until Forever,Breedless,Ego Likeness,277.7,0.582,0.42,2010ø
Mandala,Water To The Dead,Ego Likeness,248.6,0.582,0.42,2004ø
Inferno,Breedless,Ego Likeness,236.7,0.582,0.42,2010ø
Everything Is Poison,Breedless,Ego Likeness,232.8,0.582,0.42,2010ø
Burn Witch Burn,The Order of the Reptile,Ego Likeness,282.7,0.582,0.42,2006ø
Breedless,Breedless,Ego Likeness,242.8,0.582,0.42,2010ø
Axis,Water To The Dead,Ego Likeness,295.6,0.582,0.42,2004ø
Aviary,The Order of the Reptile,Ego Likeness,211.7,0.582,0.42,2006ø
Afterhours,The Order of the Reptile,Ego Likeness,343.2,0.582,0.42,2006ø
Above The Soil (Isabels' Version),Water To The Dead,Ego Likeness,329.4,0.582,0.42,2004ø
16 Miles,Water To The Dead,Ego Likeness,234.7,0.582,0.42,2004ø
