You Know You're Wrong (Take 1 - Incomplete),The Complete Fire and Enjoy Recordings,Elmore James,89.2,0.619,0.435,1995ø
Whose Muddy Shoes,The Very Best Of,Elmore James,199.8,0.619,0.435,1991ø
Where Can My Baby Be (Take 8),Dark And Dreary,Elmore James,174.4,0.619,0.435,1993ø
Up Jumped Elmore (Black Snake Slide),The Complete Fire and Enjoy Recordings,Elmore James,165.3,0.619,0.435,1995ø
Twelve Year Old Boy,The Complete Fire and Enjoy Recordings,Elmore James,214.0,0.619,0.435,1989ø
The Sky Is Crying,Blues - La Grande Anthologie 1925 - 1962,Elmore James,166.6,0.619,0.435,1960ø
Talk To Me Baby,Chess Blues Guitar / Two Decades Of Killer Fretwork_ 1949-1969,Elmore James,136.3,0.619,0.435,1988ø
Sunnyland Train,The Complete Fire and Enjoy Recordings,Elmore James,139.7,0.619,0.435,1989ø
Sunnyland,Shake Your Moneymaker: The Best of the Fire Sessions,Elmore James,139.5,0.619,0.435,1960ø
Stranger Blues - Alternate,Come Go With Me,Elmore James,179.4,0.619,0.435,1989ø
Stranger Blues,The Complete Fire and Enjoy Recordings,Elmore James,178.2,0.619,0.435,1962ø
Strange Kinda Feeling (Take 4),Dark And Dreary,Elmore James,57.4,0.619,0.435,1993ø
Strange Angels,The Complete Fire and Enjoy Recordings,Elmore James,187.7,0.619,0.435,1966ø
Standing At The Crossroads,Standing At The Crossroads & Other Favorites (Digitally Remastered),Elmore James,180.4,0.619,0.435,1960ø
So Unkind,The Complete Fire and Enjoy Recordings,Elmore James,152.0,0.619,0.435,1989ø
Sinful Woman,Rarities From The Bob Hite Vaults,Elmore James,173.1,0.619,0.435,1993ø
Sho' Nuff I Do (Session Talk & False Start),Dark And Dreary,Elmore James,91.6,0.619,0.435,1993ø
Shake Your Moneymaker,New Orleans Jukebox Gold Vol. 1 (Digitally Remastered),Elmore James,154.4,0.619,0.435,1961ø
Rollin' And Tumblin',Working On A Chain Gang,Elmore James,151.2,0.619,0.435,1965ø
Rollin' & Tumblin',The Complete Fire and Enjoy Recordings,Elmore James,152.2,0.619,0.435,1990ø
Rollin And Tumblin,Raw Blues Power,Elmore James,150.8,0.619,0.435,1993ø
Rock My Baby Right,Uprising 50ies,Elmore James,154.5,0.619,0.435,1993ø
Please Find My Baby,Dark And Dreary,Elmore James,183.2,0.619,0.435,1993ø
Pickin' The Blues,Pickin' The Blues Vol 1,Elmore James,154.5,0.619,0.435,1965ø
One Way Out,Dust My Broom,Elmore James,142.4,0.619,0.435,1965ø
My Kind of Woman,The Complete Fire and Enjoy Recordings,Elmore James,173.6,0.619,0.435,1989ø
My Best Friend,Got To Move,Elmore James,216.3,0.619,0.435,1987ø
My Baby's Gone,The Very Best Of,Elmore James,142.7,0.619,0.435,1989ø
Mean Mistreatin' Mama,Standing At The Crossroads & Other Favorites (Digitally Remastered),Elmore James,164.4,0.619,0.435,1965ø
Mean Mistreatin Mama - Original,Come Go With Me,Elmore James,161.2,0.619,0.435,1989ø
Make My Dreams Come True (Take 4),Dark And Dreary,Elmore James,164.0,0.619,0.435,1993ø
Make My Dreams Come True (Take 3),Dark And Dreary,Elmore James,54.2,0.619,0.435,1993ø
Make My Dreams Come True (Take 2),Dark And Dreary,Elmore James,163.0,0.619,0.435,1993ø
Look On Yonder Wall,Dust My Broom,Elmore James,149.5,0.619,0.435,1961ø
It Hurts Me Too,Dust My Broom,Elmore James,199.4,0.619,0.435,1957ø
I Held My Baby Last Night,The Definitive,Elmore James,205.0,0.619,0.435,1953ø
I Done Somebody Wrong,Standing At The Crossroads & Other Favorites (Digitally Remastered),Elmore James,142.3,0.619,0.435,1965ø
I Can't Stop Lovin' You,The Complete Fire and Enjoy Recordings,Elmore James,156.4,0.619,0.435,1965ø
I Believe,The Complete Fire and Enjoy Recordings,Elmore James,204.7,0.619,0.435,1953ø
Happy Home,Everyday I Have The Blues,Elmore James,166.0,0.619,0.435,1960ø
Hand in Hand (Take 4),The Complete Fire and Enjoy Recordings,Elmore James,180.7,0.619,0.435,1992ø
Hand in Hand (Take 1),The Complete Fire and Enjoy Recordings,Elmore James,185.7,0.619,0.435,1992ø
Hand In Hand - Alternate,Come Go With Me,Elmore James,193.1,0.619,0.435,1989ø
Hand In Hand,The Modern Down Home Blues Sessions: Arkansas & Mississippi Vol 1,Elmore James,169.1,0.619,0.435,1954ø
Find My Kind Of Woman (Take 3),The Complete Fire and Enjoy Recordings,Elmore James,167.5,0.619,0.435,1995ø
Everyday I Have The Blues,Elmore James,Elmore James,197.3,0.619,0.435,1965ø
Early One Morning,The Complete Fire and Enjoy Recordings,Elmore James,166.9,0.619,0.435,1966ø
Dust My Broom (Alternate Take),The Complete Fire and Enjoy Recordings,Elmore James,163.5,0.619,0.435,1995ø
Dust My Broom,Le Blues,Elmore James,161.3,0.619,0.435,1965ø
Dust My Blues,Memphis Blues,Elmore James,163.5,0.619,0.435,1960ø
Done Somebody Wrong,The Complete Fire and Enjoy Recordings,Elmore James,140.4,0.619,0.435,1986ø
Dark And Dreary (Take 2),Dark And Dreary,Elmore James,206.7,0.619,0.435,1993ø
Country Boogie,Rarities From The Bob Hite Vaults,Elmore James,162.9,0.619,0.435,1992ø
Coming Home,Standing At The Crossroads & Other Favorites (Digitally Remastered),Elmore James,146.8,0.619,0.435,1957ø
Baby What's Wrong,Dark And Dreary,Elmore James,171.5,0.619,0.435,1993ø
Baby Please Set a Date,The Complete Fire and Enjoy Recordings,Elmore James,171.0,0.619,0.435,1966ø
Anna Lee,Dust My Broom,Elmore James,171.9,0.619,0.435,1962ø
