You're So Fine (Instrumental),Night On The Town,Eric Darius,291.7,0.584,0.376,2006ø
Vibe With Me,Goin' All Out,Eric Darius,249.8,0.584,0.376,2008ø
Steppin' Up,Just Getting Started,Eric Darius,255.6,0.584,0.376,2006ø
Slick,Just Getting Started,Eric Darius,252.5,0.584,0.376,2006ø
Secret Soul,Just Getting Started,Eric Darius,248.5,0.584,0.376,2006ø
Right Here_ Right Now,Just Getting Started,Eric Darius,243.1,0.584,0.376,2006ø
Just Like That,Goin' All Out,Eric Darius,224.1,0.584,0.376,2008ø
It's Alright With Me,Just Getting Started,Eric Darius,244.0,0.584,0.376,2006ø
Groove On,Just Getting Started,Eric Darius,243.4,0.584,0.376,2006ø
Got It Goin' On,Just Getting Started,Eric Darius,242.0,0.584,0.376,2006ø
Goin' All Out,Goin' All Out,Eric Darius,250.4,0.584,0.376,2008ø
Feelin' Da Rhythm,Goin' All Out,Eric Darius,234.5,0.584,0.376,2008ø
Chillin' Out,Just Getting Started,Eric Darius,260.4,0.584,0.376,2006ø
Can't Let Go,Just Getting Started,Eric Darius,248.4,0.584,0.376,2006ø
Because Of You,Goin' All Out,Eric Darius,268.7,0.584,0.376,2008ø
Be Without You,Goin' All Out,Eric Darius,246.7,0.584,0.376,2008ø
Back At Cha,Just Getting Started,Eric Darius,332.0,0.584,0.376,2006ø
Ain't No Doubt About It,Goin' All Out,Eric Darius,261.4,0.584,0.376,2008ø
