Ya No Me Acuerdo,La Calle Es Tuya?,Estopa,170.1,0.627,0.389,2004ø
Vino Tinto,Mas Destrangis,Estopa,200.9,0.627,0.389,2001ø
Vientos De Tormenta (Bonus Track) (Maqueta),Allenrok,Estopa,221.1,0.627,0.389,2008ø
Vacaciones,Voces De Ultrarumba,Estopa,192.4,0.627,0.389,2005ø
Tu Calorro,X Anniversarivm,Estopa,227.5,0.627,0.389,1999ø
Tragicomedia,La Calle Es Tuya?,Estopa,209.2,0.627,0.389,2004ø
Te Vi Te Vi,Mas Destrangis,Estopa,248.9,0.627,0.389,2001ø
Tanta Tinta Tonta,La Calle Es Tuya?,Estopa,193.2,0.627,0.389,2004ø
Tan Solo,Estopa,Estopa,270.2,0.627,0.389,2002ø
Rumba Ke Tumba (Bonus Track) (Maqueta),Allenrok,Estopa,198.7,0.627,0.389,2008ø
Rumba Ke Tumba,Allenrok,Estopa,187.6,0.627,0.389,2008ø
Quieto Parao,Mas Destrangis,Estopa,178.8,0.627,0.389,2002ø
Que Suerte La Mia,Voces De Ultrarumba,Estopa,207.4,0.627,0.389,2005ø
Poquito A Poco,Estopa,Estopa,182.7,0.627,0.389,1999ø
Pesadilla (Bonus Track) (Maqueta),Allenrok,Estopa,167.5,0.627,0.389,2008ø
Penas Con Rumba,La Calle Es Tuya?,Estopa,190.7,0.627,0.389,2004ø
Pastillas De Freno,La Calle Es Tuya?,Estopa,204.5,0.627,0.389,2004ø
Paseo,Voces De Ultrarumba,Estopa,216.5,0.627,0.389,2005ø
Partiendo La Pana,Mas Destrangis,Estopa,240.5,0.627,0.389,2001ø
Ojitos Rojos (Directo),Mas Destrangis,Estopa,267.9,0.627,0.389,2003ø
No Quiero Verla Mas,Voces De Ultrarumba,Estopa,201.1,0.627,0.389,2005ø
Ninguna Parte,Voces De Ultrarumba,Estopa,206.4,0.627,0.389,2005ø
Ni Pa Ti Ni Pa Mi,Voces De Ultrarumba,Estopa,235.4,0.627,0.389,2005ø
Nasio Pa La Alegria,Mas Destrangis,Estopa,207.3,0.627,0.389,2001ø
Monstruos,Voces De Ultrarumba,Estopa,195.2,0.627,0.389,2005ø
Mi Primera Cana,Mas Destrangis,Estopa,96.7,0.627,0.389,2001ø
Me Falta El Aliento,Estopa,Estopa,218.2,0.627,0.389,1999ø
Malabares,Voces De Ultrarumba,Estopa,205.7,0.627,0.389,2005ø
Madre (Directo),Mas Destrangis,Estopa,290.2,0.627,0.389,2002ø
Lunes,Voces De Ultrarumba,Estopa,182.3,0.627,0.389,2005ø
Luna Lunera,Mas Destrangis,Estopa,229.0,0.627,0.389,2001ø
La Raja De Tu Falda,X Anniversarivm,Estopa,202.6,0.627,0.389,1999ø
La Matraca (Bonus Track) (Maqueta),Allenrok,Estopa,225.7,0.627,0.389,2008ø
La Matraca,Allenrok,Estopa,221.5,0.627,0.389,2008ø
La Del Lute,La Del Lute,Estopa,240.3,0.627,0.389,2004ø
Ke Pasa!?,Mas Destrangis,Estopa,199.6,0.627,0.389,2001ø
Jugar Al Despiste,Allenrok,Estopa,152.0,0.627,0.389,2008ø
Jardin Del Olvido,Mas Destrangis,Estopa,223.2,0.627,0.389,2001ø
Hemicraneal (Bonus Track) (Maqueta),Allenrok,Estopa,236.1,0.627,0.389,2008ø
Hemicraneal,Allenrok,Estopa,250.4,0.627,0.389,2008ø
Gulere Gulere,Voces De Ultrarumba,Estopa,205.8,0.627,0.389,2005ø
Fuente De Energia,X Anniversarivm,Estopa,250.0,0.627,0.389,2003ø
Fin De Semana,La Calle Es Tuya?,Estopa,179.3,0.627,0.389,2004ø
Exiliado En El Lavabo,X Anniversarivm,Estopa,222.4,0.627,0.389,1999ø
Estrella Fugaz,La Calle Es Tuya?,Estopa,220.2,0.627,0.389,2004ø
Estopa,Estopa,Estopa,215.0,0.627,0.389,1999ø
Era (Bonus Track) (Maqueta),Allenrok,Estopa,187.3,0.627,0.389,2008ø
Era,X Anniversarivm,Estopa,257.6,0.627,0.389,2008ø
