Simiesque,Soma,Eths,396.3,0.523,0.464,2004ø
Septum Lucidum,Soma,Eths,283.4,0.523,0.464,2004ø
Samantha,Autopsie,Eths,304.0,0.523,0.464,2002ø
Rutsah,Soma,Eths,247.7,0.523,0.464,2004ø
Pourquoi,Autopsie,Eths,238.8,0.523,0.464,2000ø
Le Projet Humain,Autopsie,Eths,299.8,0.523,0.464,2002ø
Le Fruit Des Anges,Soma,Eths,225.1,0.523,0.464,2004ø
La Chair Et Le Sang,Autopsie,Eths,171.0,0.523,0.464,2000ø
L'instant Sourd,Soma,Eths,147.1,0.523,0.464,2004ø
Je Vous Hais,Soma,Eths,180.8,0.523,0.464,2004ø
Encre,Autopsie,Eths,190.5,0.523,0.464,2000ø
Des Hommes Bons,Autopsie,Eths,243.0,0.523,0.464,2000ø
Des Cendres,Autopsie,Eths,204.7,0.523,0.464,2002ø
Autopsie,Autopsie,Eths,239.4,0.523,0.464,2000ø
Ailleurs C'est Ici,Soma,Eths,317.9,0.523,0.464,2004ø
A La Droite De Dieu,Autopsie,Eths,191.7,0.523,0.464,2000ø
