Young & Sexy (Featuring Pharrell & Mike Shorey) (Explicit Album Version),Real Talk,Fabolous,258.6,0.572,0.54,2004ø
Young & Sexy (Featuring Pharrell & Mike Shorey) (Amended Album Version),Real Talk,Fabolous,258.5,0.572,0.54,2004ø
Up On Things (featuring Snoop Dogg) (Explicit Version),Street Dreams,Fabolous,222.4,0.572,0.54,2003ø
Trade It All PT2  (Early Fade Amended Version- Bonus Track) (featuring P. Diddy & Jagged Edge),Street Dreams,Fabolous,246.3,0.572,0.54,2003ø
Tit 4 Tat (Featuring Pharrell) (Explicit Album Version),Real Talk,Fabolous,278.0,0.572,0.54,2004ø
Throw Back  (Explicit Version- Bonus Track),Street Dreams,Fabolous,225.1,0.572,0.54,2003ø
The Way (Intro),Loso's Way,Fabolous,249.6,0.572,0.54,2009ø
Round & Round (Explicit Album Version),Real Talk,Fabolous,220.6,0.572,0.54,2004ø
Respect (Explicit Version),Street Dreams,Fabolous,249.8,0.572,0.54,2003ø
Real Talk (123) (Explicit Album Version),Real Talk,Fabolous,266.6,0.572,0.54,2004ø
Po Po (Featuring Paul Cain and Nate Dogg) (Explicit Album Version),Real Talk,Fabolous,279.0,0.572,0.54,2004ø
Pachanga,Loso's Way,Fabolous,254.6,0.572,0.54,2009ø
Not Give A F*** (Amended Version),Street Dreams,Fabolous,199.2,0.572,0.54,2003ø
My Life (featuring Mary J. Blige)  (Explicit Version),Street Dreams,Fabolous,253.5,0.572,0.54,2003ø
My Life (featuring Mary J. Blige)  (Early Fade Amended Version),Street Dreams,Fabolous,227.6,0.572,0.54,2003ø
Keepin It Gangsta (Remix)  ( Bonus Track),Street Dreams,Fabolous,309.7,0.572,0.54,2003ø
Keepin It Gangsta (Early Fade Amended Remix)  ( Bonus Track),Street Dreams,Fabolous,290.9,0.572,0.54,2003ø
It's All Right  (Featuring Sean Paul) (Amended Album Version),Real Talk,Fabolous,225.4,0.572,0.54,2004ø
Into You [Main Mix Featuring Tamia] [Explicit Version],Street Dreams,Fabolous,293.9,0.572,0.54,2003ø
Into You [Featuring Ashanti] [Explicit Version],Street Dreams,Fabolous,274.4,0.572,0.54,2003ø
Into You (featuring Tamia)  (Early Fade Main Mix Amended),Street Dreams,Fabolous,264.7,0.572,0.54,2003ø
In My Hood (Explicit Album Version),Real Talk,Fabolous,319.9,0.572,0.54,2004ø
Holla At Somebody Real (Featuring Lil' Mo) (Amended Album Version),Real Talk,Fabolous,227.6,0.572,0.54,2004ø
Ghetto (Featuring Thara) (Explicit Album Version),Real Talk,Fabolous,256.2,0.572,0.54,2004ø
Gangsta (Explicit Album Version),Real Talk,Fabolous,222.2,0.572,0.54,2004ø
Forgive Me Father  (Amended Version),Street Dreams,Fabolous,270.2,0.572,0.54,2003ø
Feel Like I'm Back,Loso's Way,Fabolous,268.9,0.572,0.54,2009ø
Exodus Performed By Black Ice (Amended Album Version),Real Talk,Fabolous,85.6,0.572,0.54,2004ø
Don't Stop Won't Stop (Explicit Album Version),Real Talk,Fabolous,217.9,0.572,0.54,2004ø
Damn (Explicit Version),Street Dreams,Fabolous,206.1,0.572,0.54,2003ø
Damn (Amended Version),Street Dreams,Fabolous,206.2,0.572,0.54,2003ø
Church (Featuring Charlie Murphy) (Explicit Album Version),Real Talk,Fabolous,295.5,0.572,0.54,2004ø
Change You Or Change Me [Explicit Version],Street Dreams,Fabolous,271.6,0.572,0.54,2003ø
Change You or Change Me (Explicit Version),Street Dreams,Fabolous,271.7,0.572,0.54,2003ø
Change You or Change Me (Amended Version),Street Dreams,Fabolous,283.6,0.572,0.54,2003ø
Can't Let You Go featuring Mike Shorey & Lil' Mo  (Main LP Version),Street Dreams,Fabolous,222.9,0.572,0.54,2003ø
Can't Let You Go featuring Mike Shorey & Lil' Mo  (Amended Version),Street Dreams,Fabolous,222.5,0.572,0.54,2003ø
Can You Hear Me (Amended Album Version),Real Talk,Fabolous,297.6,0.572,0.54,2004ø
Call Me [Explicit Version],Street Dreams,Fabolous,224.8,0.572,0.54,2003ø
Call Me (Amended Version),Street Dreams,Fabolous,226.0,0.572,0.54,2003ø
Breathe (Explicit Album Version),Real Talk,Fabolous,269.0,0.572,0.54,2004ø
Breathe (Amended Album Version),Real Talk,Fabolous,269.0,0.572,0.54,2004ø
Bad Bitch (Amended Version),Street Dreams,Fabolous,218.0,0.572,0.54,2003ø
Baby (Featuring Mike Shorey) (Amended Album Version),Real Talk,Fabolous,295.6,0.572,0.54,2004ø
Never Duplicated  (Amended Version),Street Dreams,Fabolous,241.1,0.572,0.539,2003ø
