Worms,Toxic Voodoo,Fear of God,377.5,0.509,0.323,1994ø
Will of Evil,Toxic Voodoo,Fear of God,297.1,0.509,0.323,1992ø
U.V.,Toxic Voodoo,Fear of God,336.8,0.509,0.323,1994ø
Swine Song,Toxic Voodoo,Fear of God,218.7,0.509,0.323,1994ø
Santismo,Toxic Voodoo,Fear of God,334.5,0.509,0.323,1992ø
Mercy,Toxic Voodoo,Fear of God,205.2,0.509,0.323,1994ø
Feed Time,Toxic Voodoo,Fear of God,253.4,0.509,0.323,1994ø
Cloud Chamber,Toxic Voodoo,Fear of God,296.5,0.509,0.323,1994ø
Burnt,Toxic Voodoo,Fear of God,215.4,0.509,0.323,1994ø
Beyond the Veil,Toxic Voodoo,Fear of God,207.4,0.509,0.323,1992ø
