Volando Sognando,Fiordaliso,Fiordaliso,302.8,0.488,0.31,2002ø
Vivere,Fiordaliso,Fiordaliso,253.6,0.488,0.31,2002ø
Vicino Al Cielo,Fiordaliso,Fiordaliso,256.8,0.488,0.31,2002ø
Una Sporca Poesia,Fiordaliso,Fiordaliso,196.7,0.488,0.31,1995ø
Saprai,Made In Italy,Fiordaliso,267.6,0.488,0.31,1991ø
Oramai,Fiordaliso,Fiordaliso,197.0,0.488,0.31,1998ø
Oltre Il Cielo,Fiordaliso,Fiordaliso,243.8,0.488,0.31,1998ø
Non Voglio Mica La Luna,Non Voglio Mica La Luna,Fiordaliso,246.8,0.488,0.31,1998ø
No More,Fiordaliso,Fiordaliso,215.3,0.488,0.31,1998ø
La Nave Bianca,Fiordaliso,Fiordaliso,225.8,0.488,0.31,1998ø
Il Mio Angelo,Fiordaliso,Fiordaliso,213.2,0.488,0.31,1985ø
Il Canto Del Cigno,Fiordaliso,Fiordaliso,197.6,0.488,0.31,2002ø
I Giorni Dell'Addio,Fiordaliso,Fiordaliso,260.2,0.488,0.31,1998ø
Freddo Di Dicembre,Fiordaliso,Fiordaliso,239.0,0.488,0.31,1998ø
Fatti Miei,Fiordaliso,Fiordaliso,240.8,0.488,0.31,1986ø
Credo In Me,Fiordaliso,Fiordaliso,224.3,0.488,0.31,2002ø
All'Improvviso,Fiordaliso,Fiordaliso,201.0,0.488,0.31,1998ø
