Touch Me (Album Version),R.O.O.T.S.,Flo Rida,190.9,0.649,0.813,2009ø
Still Missin (Explicit Album Version),Mail On Sunday,Flo Rida,280.6,0.649,0.813,2008ø
Shone [feat. Pleasure P] (Album Version),R.O.O.T.S.,Flo Rida,253.3,0.649,0.813,2009ø
Roll Feat. Sean Kingston (Explicit Album Version),Mail On Sunday,Flo Rida,239.1,0.649,0.813,2008ø
Right Round [Featuring Ke$ha] [Mark Brown Remix Dub],Right Round,Flo Rida,411.8,0.649,0.813,2009ø
Rewind [feat. Wyclef Jean] (Album Version),R.O.O.T.S.,Flo Rida,269.5,0.649,0.813,2009ø
Priceless [Feat. Birdman] (Explicit Album Version),Mail On Sunday,Flo Rida,232.7,0.649,0.813,2008ø
Never (Explicit Album Version),R.O.O.T.S.,Flo Rida,261.6,0.649,0.813,2009ø
Ms. Hangover (Explicit Album Version),Mail On Sunday,Flo Rida,237.6,0.649,0.813,2008ø
Money Right [feat. Rick Ross & Brisco] (Amended Album Version),Mail On Sunday,Flo Rida,196.2,0.649,0.813,2008ø
Mind On My Money (Album Version),R.O.O.T.S.,Flo Rida,211.9,0.811,0.813,2009ø
Me & U (Explicit Album Version),Mail On Sunday,Flo Rida,270.9,0.649,0.813,2008ø
Freaky Deaky [feat. Trey Songz] (Explicit Album Version),Mail On Sunday,Flo Rida,197.4,0.649,0.813,2008ø
Finally Here (Explicit Album Version),R.O.O.T.S.,Flo Rida,242.9,0.649,0.813,2009ø
Don't Know How To Act [feat. Yung Joc] (Explicit Album Version),Mail On Sunday,Flo Rida,213.2,0.649,0.813,2008ø
Be On You [feat. Ne-Yo] (Album Version),R.O.O.T.S.,Flo Rida,243.2,0.649,0.813,2009ø
Available [feat. Akon] (Album Version),R.O.O.T.S.,Flo Rida,264.9,0.649,0.813,2009ø
American Superstar [Feat. Lil Wayne] (Explicit Album Version),Mail On Sunday,Flo Rida,222.2,0.649,0.813,2008ø
All My Life (Explicit Album Version),Mail On Sunday,Flo Rida,212.8,0.649,0.813,2008ø
Ack Like You Know (Amended Album Version),Mail On Sunday,Flo Rida,224.2,0.649,0.813,2008ø
