You Were Made For Me,The Very Best Of,Freddie & The Dreamers,139.5,0.526,0.418,1964ø
What Have I Done To You,A's_ B's & EP's,Freddie & The Dreamers,130.1,0.526,0.418,1995ø
Thou Shalt Not Steal,The Ultimate Collection,Freddie & The Dreamers,129.9,0.526,0.418,1995ø
The Viper,The Very Best Of,Freddie & The Dreamers,115.1,0.526,0.418,1992ø
Tell Me When,The Ultimate Collection,Freddie & The Dreamers,127.7,0.526,0.418,1992ø
Short Shorts,The Ultimate Collection,Freddie & The Dreamers,159.7,0.526,0.418,1992ø
See You Later Alligator,The Very Best Of,Freddie & The Dreamers,144.3,0.526,0.418,1992ø
Over You,The Very Best Of,Freddie & The Dreamers,115.5,0.526,0.418,1991ø
Money (That's What I Want),Greatest Hits,Freddie & The Dreamers,143.7,0.526,0.418,2006ø
Jailer Bring Me Water,The Very Best Of,Freddie & The Dreamers,144.1,0.526,0.418,1992ø
It Doesn't Matter Anymore,The Ultimate Collection,Freddie & The Dreamers,131.3,0.526,0.418,1992ø
If You've Got A Minute Baby,Greatest Hits,Freddie & The Dreamers,123.8,0.526,0.418,1992ø
If You Gotta Make A Fool Of Somebody,Freddie & The Dreamers - Their Very Best,Freddie & The Dreamers,118.3,0.526,0.418,1988ø
I'm Telling You Now,The British Invasion - Greatest Hits,Freddie & The Dreamers,129.5,0.526,0.418,1979ø
I Understand (Just How You Feel),The Very Best Of,Freddie & The Dreamers,154.6,0.526,0.418,1999ø
I Understand,The British Invasion - Greatest Hits,Freddie & The Dreamers,161.8,0.526,0.418,1979ø
I Think Of You,The Very Best Of,Freddie & The Dreamers,134.8,0.526,0.418,1992ø
I Love You Baby,The Ultimate Collection,Freddie & The Dreamers,122.3,0.526,0.418,1992ø
I Don't Love You Anymore,The Ultimate Collection,Freddie & The Dreamers,153.7,0.526,0.418,1992ø
Feel So Blue,The Very Best Of,Freddie & The Dreamers,113.8,0.526,0.418,1992ø
Don't Make Me Cry,A's_ B's & EP's,Freddie & The Dreamers,131.8,0.526,0.418,1992ø
Come Back When You're Ready,The Very Best Of,Freddie & The Dreamers,141.6,0.526,0.418,1992ø
A Windmill In Old Amsterdam,The Very Best Of,Freddie & The Dreamers,126.9,0.526,0.418,1992ø
A Love Like You,The Very Best Of,Freddie & The Dreamers,109.8,0.526,0.418,1992ø
A Little You,Greatest Hits,Freddie & The Dreamers,130.9,0.526,0.418,1992ø
