Wichita Lineman,Keep Left Vol. 1,Friends Of Dean Martinez,192.7,0.497,0.355,2000ø
White Lake,A Place in the Sun,Friends Of Dean Martinez,218.2,0.497,0.355,2000ø
When You're Gone,A Place in the Sun,Friends Of Dean Martinez,180.3,0.497,0.355,2000ø
Ugly Beauty,The Shadow Of Your Smile,Friends Of Dean Martinez,164.6,0.497,0.355,1995ø
Two Hundred Miles,Lost Horizon,Friends Of Dean Martinez,221.8,0.497,0.355,2005ø
Twilight Sleep,Atardecer,Friends Of Dean Martinez,324.0,0.497,0.355,1999ø
The Shadow Of Your Smile,The Shadow Of Your Smile,Friends Of Dean Martinez,254.6,0.497,0.355,1995ø
Swamp Cooler,The Shadow Of Your Smile,Friends Of Dean Martinez,218.2,0.497,0.355,1995ø
Spoonie,Atardecer,Friends Of Dean Martinez,324.6,0.497,0.355,1999ø
Somewhere Over The Waves,Lost Horizon,Friends Of Dean Martinez,247.8,0.497,0.355,2005ø
Siempre Que,A Place in the Sun,Friends Of Dean Martinez,156.8,0.497,0.355,2000ø
Quickening,Atardecer,Friends Of Dean Martinez,93.4,0.497,0.355,1999ø
Pistola Agua,A Place in the Sun,Friends Of Dean Martinez,359.9,0.497,0.355,2000ø
Per Sempre,The Shadow Of Your Smile,Friends Of Dean Martinez,236.2,0.497,0.355,1995ø
Otra Vez,Atardecer,Friends Of Dean Martinez,182.3,0.497,0.355,1999ø
Misty,The Shadow Of Your Smile,Friends Of Dean Martinez,201.1,0.497,0.355,1995ø
Landfall,Lost Horizon,Friends Of Dean Martinez,476.4,0.497,0.355,2005ø
La Fin De L'ete,Atardecer,Friends Of Dean Martinez,187.0,0.497,0.355,1999ø
Inner Sanctum,Atardecer,Friends Of Dean Martinez,274.4,0.497,0.355,1999ø
I Wish You Love,The Shadow Of Your Smile,Friends Of Dean Martinez,164.2,0.497,0.355,1995ø
House Of Pies,The Shadow Of Your Smile,Friends Of Dean Martinez,147.1,0.497,0.355,1995ø
Hidden Out Of Sight,Lost Horizon,Friends Of Dean Martinez,158.2,0.497,0.355,2005ø
Heart Of Darkness,Lost Horizon,Friends Of Dean Martinez,169.1,0.497,0.355,2005ø
Given The Time,The Shadow Of Your Smile,Friends Of Dean Martinez,206.5,0.497,0.355,1995ø
Ethchlorvynol,Atardecer,Friends Of Dean Martinez,135.1,0.497,0.355,1999ø
El Tiradito,The Shadow Of Your Smile,Friends Of Dean Martinez,142.9,0.497,0.355,1995ø
Dawn,Lost Horizon,Friends Of Dean Martinez,162.8,0.497,0.355,2005ø
Coppertone,Atardecer,Friends Of Dean Martinez,124.2,0.497,0.355,1999ø
Contact,Atardecer,Friends Of Dean Martinez,201.8,0.497,0.355,1999ø
Chunder,The Shadow Of Your Smile,Friends Of Dean Martinez,232.3,0.497,0.355,1995ø
Casa Mila,Atardecer,Friends Of Dean Martinez,237.9,0.497,0.355,1999ø
Broken Bell,A Place in the Sun,Friends Of Dean Martinez,298.0,0.497,0.355,2000ø
Blood Of The Earth,The Shadow Of Your Smile,Friends Of Dean Martinez,175.0,0.497,0.355,1995ø
Atardecer,Atardecer,Friends Of Dean Martinez,209.7,0.497,0.355,1999ø
Armory Park/Dwell,The Shadow Of Your Smile,Friends Of Dean Martinez,243.5,0.497,0.355,1995ø
Aluminum,A Place in the Sun,Friends Of Dean Martinez,363.3,0.497,0.355,2000ø
All The Pretty Horses,The Shadow Of Your Smile,Friends Of Dean Martinez,169.2,0.497,0.355,1995ø
All In The Golden Afternoon,Lost Horizon,Friends Of Dean Martinez,307.3,0.497,0.355,2005ø
