White Boys,Hair,Galt MacDermot;Tom Pierson,156.5,0.559,0.399,1979ø
What A Piece Of Work Is Man,Hair,Galt MacDermot;Tom Pierson,99.4,0.559,0.399,1979ø
Walking In Space,Hair,Galt MacDermot;Tom Pierson,372.3,0.559,0.399,1968ø
The Flesh Failures (Let The Sunshine In),Hair,Galt MacDermot;Tom Pierson,366.2,0.559,0.399,1968ø
Somebody To Love,Hair,Galt MacDermot;Tom Pierson,251.7,0.559,0.399,1979ø
Sodomy,Hair,Galt MacDermot;Tom Pierson,90.5,0.559,0.399,1968ø
Party Music,Hair,Galt MacDermot;Tom Pierson,206.5,0.559,0.399,1979ø
Manchester,Hair,Galt MacDermot;Tom Pierson,118.4,0.559,0.399,1979ø
L.B.J.,Hair,Galt MacDermot;Tom Pierson,68.5,0.559,0.399,1999ø
I Got Life,Hair,Galt MacDermot;Tom Pierson,135.2,0.559,0.399,1968ø
Hare Krishna,Hair,Galt MacDermot;Tom Pierson,199.5,0.559,0.399,1979ø
Hair,Hair,Galt MacDermot;Tom Pierson,162.8,0.559,0.399,1968ø
Good Morning Starshine,Hair,Galt MacDermot;Tom Pierson,145.1,0.559,0.399,1968ø
Frank Mills,Hair,Galt MacDermot;Tom Pierson,159.9,0.559,0.399,1968ø
Electric Blues / Old Fashioned Melody,Hair,Galt MacDermot;Tom Pierson,230.2,0.559,0.399,1979ø
Easy To Be Hard,Hair,Galt MacDermot;Tom Pierson,220.5,0.559,0.399,1968ø
Donna / Hashish,Hair,Galt MacDermot;Tom Pierson,259.2,0.559,0.399,1968ø
Don't Put It Down,Hair,Galt MacDermot;Tom Pierson,145.5,0.559,0.399,1968ø
Colored Spade,Hair,Galt MacDermot;Tom Pierson,94.5,0.559,0.399,1968ø
Black Boys,Hair,Galt MacDermot;Tom Pierson,72.4,0.559,0.399,1979ø
Aquarius,Hair,Galt MacDermot;Tom Pierson,286.7,0.559,0.399,1968ø
Air,Hair,Galt MacDermot;Tom Pierson,86.6,0.559,0.399,1968ø
Abie Baby / Fourscore,Hair,Galt MacDermot;Tom Pierson,163.3,0.559,0.399,1979ø
3-5-0-0,Hair,Galt MacDermot;Tom Pierson,228.8,0.559,0.399,1979ø
