Zonin' (Explicit),The Ownerz,Gang Starr,175.5,0.706,0.491,2003ø
Work (Explicit),Moment Of Truth,Gang Starr,177.7,0.706,0.491,1998ø
Who's Gonna Take The Weight? (Explicit),Step In The Arena,Gang Starr,236.1,0.706,0.491,1991ø
Werdz From The Ghetto Child (Explicit),The Ownerz,Gang Starr,71.2,0.706,0.491,2003ø
Tonz 'O' Gunz (Explicit),Hard To Earn,Gang Starr,235.1,0.706,0.491,1994ø
The Rep Growz Bigga (Explicit),Moment Of Truth,Gang Starr,295.6,0.706,0.491,1998ø
The Planet (Explicit),Hard To Earn,Gang Starr,316.0,0.706,0.491,1994ø
The Place We Dwell,Daily Operation,Gang Starr,147.2,0.706,0.491,1992ø
The Illest Brother,Daily Operation,Gang Starr,284.7,0.706,0.491,1992ø
Take Two And Pass,Daily Operation,Gang Starr,198.0,0.706,0.491,1992ø
Take It Personal,Daily Operation,Gang Starr,190.1,0.706,0.491,1992ø
Street Ministry,Step In The Arena,Gang Starr,85.6,0.706,0.491,1991ø
Stay Tuned,Daily Operation,Gang Starr,151.8,0.706,0.491,1992ø
Soliloquy Of Chaos,Daily Operation,Gang Starr,194.3,0.706,0.491,1992ø
Skills (Edited),The Ownerz,Gang Starr,201.3,0.706,0.491,2003ø
She Knowz What She Wantz (Explicit),Moment Of Truth,Gang Starr,180.7,0.706,0.491,1998ø
Say Your Prayers,Step In The Arena,Gang Starr,84.6,0.706,0.491,1991ø
Sabotage (Explicit),The Ownerz,Gang Starr,145.0,0.706,0.491,2003ø
Sabotage (Edited),The Ownerz,Gang Starr,144.2,0.706,0.491,2003ø
Royalty,Mass Appeal: The Best of Gang Starr [Edited],Gang Starr,248.5,0.706,0.491,1997ø
Robbin Hood Theory,Moment Of Truth,Gang Starr,224.1,0.706,0.491,1998ø
Riot Akt (Explicit),The Ownerz,Gang Starr,244.5,0.706,0.491,2003ø
Precisely The Right Rhymes,Step In The Arena,Gang Starr,205.5,0.706,0.491,1991ø
Playtawin (Explicit),The Ownerz,Gang Starr,192.3,0.706,0.491,2003ø
Peace Of Mine (Edited),The Ownerz,Gang Starr,162.7,0.706,0.491,2003ø
Now You're Mine (Explicit),Hard To Earn,Gang Starr,175.9,0.706,0.491,1994ø
No Shame In My Game,Daily Operation,Gang Starr,235.9,0.706,0.491,1992ø
Nice Girl_ Wrong Place (Explicit),The Ownerz,Gang Starr,213.3,0.706,0.491,2003ø
Next Time (Explicit),Moment Of Truth,Gang Starr,186.3,0.706,0.491,1998ø
New York Strait Talk (Explicit),Moment Of Truth,Gang Starr,254.5,0.706,0.491,1998ø
Name Tag (Premier & The Guru),Step In The Arena,Gang Starr,36.4,0.706,0.491,1991ø
My Advice 2 You (Explicit),Moment Of Truth,Gang Starr,151.9,0.706,0.491,1998ø
Mostly Tha Voice (Explicit),Hard To Earn,Gang Starr,218.4,0.706,0.491,1994ø
Moment Of Truth (Explicit),Moment Of Truth,Gang Starr,247.4,0.706,0.491,1998ø
Mass Appeal (Explicit),Hard To Earn,Gang Starr,221.1,0.706,0.491,1994ø
Just To Get A Rep,Original Hits - Rap & Soul,Gang Starr,159.0,0.706,0.491,1991ø
JFK 2 LAX,Moment Of Truth,Gang Starr,214.7,0.706,0.491,1998ø
Intro (HG_ Goo_ Panch) (Explicit),The Ownerz,Gang Starr,47.1,0.706,0.491,2003ø
In Memory Of... (Explicit),Moment Of Truth,Gang Starr,230.1,0.706,0.491,1998ø
Form Of Intellect,Step In The Arena,Gang Starr,220.1,0.706,0.491,1991ø
Execution Of A Chump (Explicit),Step In The Arena,Gang Starr,162.0,0.706,0.491,1991ø
Eulogy (Edited),The Ownerz,Gang Starr,175.2,0.706,0.491,2003ø
Deadly Habitz (Explicit),The Ownerz,Gang Starr,255.5,0.706,0.491,2003ø
Comin' For The Datazz (Explicit),Hard To Earn,Gang Starr,242.0,0.706,0.491,1994ø
Check The Technique (Explicit),Step In The Arena,Gang Starr,238.8,0.706,0.491,1991ø
Brainstorm (Explicit),Hard To Earn,Gang Starr,182.0,0.706,0.491,1994ø
Blowin' Up The Spot (Explicit),Hard To Earn,Gang Starr,190.6,0.706,0.491,1994ø
Beyond Comprehension,Step In The Arena,Gang Starr,193.6,0.706,0.491,1991ø
B.Y.S.,Daily Operation,Gang Starr,186.0,0.706,0.491,1992ø
ALONGWAYTOGO (Explicit),Hard To Earn,Gang Starr,253.3,0.706,0.491,1994ø
2 Deep,Daily Operation,Gang Starr,219.1,0.706,0.491,1992ø
(Hiney) (Explicit),The Ownerz,Gang Starr,92.9,0.706,0.491,2003ø
Words From The Nutcracker (Explicit),Hard To Earn,Gang Starr,88.8,0.706,0.485,1994ø
Hardcore Composer,Daily Operation,Gang Starr,196.8,0.706,0.485,1992ø
What I'm Here 4 (Explicit),Moment Of Truth,Gang Starr,165.3,0.706,0.475,1998ø
Here Today_ Gone Tomorrow,Step In The Arena,Gang Starr,138.7,0.706,0.475,1991ø
Battle,8 Mile,Gang Starr,175.0,0.706,0.475,2002ø
