You Look So Fine [Fun Lovin' Criminals remix],Absolute Garbage,Garbage,218.7,0.773,0.554,2007ø
You Look So Fine (Re-mastered 07),Absolute Garbage,Garbage,324.0,0.816,0.554,2007ø
You Look So Fine,Version 2.0,Garbage,327.3,0.816,0.554,1998ø
Wicked Ways,Version 2.0,Garbage,222.7,0.773,0.554,1998ø
Why Do You Love Me (Clean version) (Re-mastered 07),Absolute Garbage,Garbage,233.3,0.773,0.554,2007ø
When I Grow Up [Jagz Kooner remix],Absolute Garbage,Garbage,323.5,0.773,0.554,2007ø
When I Grow Up (Re-mastered 07),Absolute Garbage,Garbage,202.8,0.773,0.554,2007ø
When I Grow Up,Version 2.0,Garbage,203.2,0.816,0.554,1998ø
Vow (Re-mastered 07),Absolute Garbage,Garbage,271.4,0.816,0.554,2007ø
Till The Day I Die,beautifulgarbage,Garbage,207.0,0.773,0.554,2001ø
The World Is Not Enough (Unkle remix),Absolute Garbage,Garbage,300.1,0.773,0.554,2007ø
The World Is Not Enough (Re-mastered 2007),Absolute Garbage,Garbage,237.9,0.816,0.554,2007ø
The Trick Is To Keep Breathing,Version 2.0,Garbage,252.4,0.773,0.554,1998ø
Temptation Waits,Version 2.0,Garbage,277.4,0.773,0.554,1998ø
Tell Me Where It Hurts  (Album Version Guitars Up),Tell Me Where It Hurts,Garbage,250.3,0.773,0.554,2007ø
Supervixen,Garbage,Garbage,236.1,0.773,0.554,1995ø
Stupid Girl [Todd Terry remix],Absolute Garbage,Garbage,227.2,0.773,0.554,2007ø
Stupid Girl (Re-mastered 07),Absolute Garbage,Garbage,259.1,0.773,0.554,2007ø
Stupid Girl,Garbage,Garbage,258.7,0.773,0.554,1995ø
Special [Brothers In Rhythm],Absolute Garbage,Garbage,316.5,0.773,0.554,2007ø
Special (Re-mastered 07),Absolute Garbage,Garbage,228.3,0.773,0.554,2007ø
Special,Version 2.0,Garbage,224.5,0.773,0.554,1998ø
Space Can Come Through Anyone,Why Do You Love Me,Garbage,196.0,0.773,0.554,2005ø
So Like A Rose,beautifulgarbage,Garbage,377.7,0.773,0.554,2001ø
Sleep Together,Version 2.0,Garbage,243.9,0.773,0.554,1998ø
Silence Is Golden,beautifulgarbage,Garbage,228.8,0.773,0.554,2001ø
Shut Your Mouth (Re-mastered 07),Absolute Garbage,Garbage,206.4,0.773,0.554,2007ø
Shut Your Mouth,beautifulgarbage,Garbage,205.1,0.773,0.554,2001ø
Sex Is Not The Enemy - Album Version,Bleed Like Me,Garbage,186.4,0.773,0.554,2005ø
Run Baby Run,Bleed Like Me,Garbage,238.1,0.773,0.554,2005ø
Right Between The Eyes,Bleed Like Me,Garbage,236.0,0.773,0.554,2005ø
Queer [Rabbit In The Moon remix],Absolute Garbage,Garbage,303.9,0.773,0.554,2007ø
Queer (Re-mastered 2007),Absolute Garbage,Garbage,277.8,0.816,0.554,2007ø
Queer,Garbage,Garbage,276.8,0.773,0.554,1995ø
Push It [Boom Boom Satellites mix],Absolute Garbage,Garbage,320.8,0.773,0.554,2007ø
Push It (Re-mastered 2007),Absolute Garbage,Garbage,243.2,0.773,0.554,2007ø
Push It,Version 2.0,Garbage,241.9,0.773,0.554,1998ø
Parade,beautifulgarbage,Garbage,247.3,0.773,0.554,2001ø
Only Happy When It Rains (Re-mastered 2007),Absolute Garbage,Garbage,227.1,0.773,0.554,2007ø
Only Happy When It Rains,Garbage,Garbage,237.6,0.773,0.554,1995ø
Not My Idea,Garbage,Garbage,229.0,0.773,0.554,1995ø
Nobody Loves You,beautifulgarbage,Garbage,306.8,0.773,0.554,2001ø
Nobody Can Win,Why Do You Love Me,Garbage,175.1,0.773,0.554,2005ø
My Lover's Box,Garbage,Garbage,235.9,0.773,0.554,1995ø
Milk [Massive Attack remix],Absolute Garbage,Garbage,271.7,0.773,0.554,2007ø
Milk (Re-mastered 07),Absolute Garbage,Garbage,231.3,0.773,0.554,2007ø
Milk,Garbage,Garbage,234.4,0.773,0.554,1995ø
Metal Heart,Bleed Like Me,Garbage,239.1,0.773,0.554,2005ø
Medication,Version 2.0,Garbage,249.1,0.816,0.554,1998ø
