Zomer In Mij,Boot 7,Gerard Van Maasakkers,292.7,0.381,0.361,1996ø
Zo Gaat Dat Dan,Zonder Titel / Iets Van April,Gerard Van Maasakkers,212.6,0.381,0.361,1994ø
Zaketoen,Zonder Titel / Iets Van April,Gerard Van Maasakkers,280.9,0.381,0.361,1991ø
Vaas Op Tafel,Boot 7,Gerard Van Maasakkers,175.9,0.381,0.361,1996ø
Sterren Van De Hemel,Zonder Titel / Iets Van April,Gerard Van Maasakkers,255.8,0.381,0.361,1994ø
Salve Regina,Boot 7,Gerard Van Maasakkers,282.6,0.381,0.361,1996ø
Onze Vader Zei,Zonder Titel / Iets Van April,Gerard Van Maasakkers,155.4,0.381,0.361,1994ø
Oktober,Zonder Titel / Iets Van April,Gerard Van Maasakkers,209.8,0.381,0.361,1991ø
Jouw Tranen,Zonder Titel / Iets Van April,Gerard Van Maasakkers,242.5,0.381,0.361,1991ø
Jopie Jansen,Boot 7,Gerard Van Maasakkers,231.4,0.381,0.361,1996ø
Janus Dekkers,Zonder Titel / Iets Van April,Gerard Van Maasakkers,297.5,0.381,0.361,1991ø
Ik Wil Bij Jou Zijn,Zonder Titel / Iets Van April,Gerard Van Maasakkers,175.6,0.381,0.361,1991ø
Huis In 't Bos,Zonder Titel / Iets Van April,Gerard Van Maasakkers,237.0,0.381,0.361,1994ø
Griep,Boot 7,Gerard Van Maasakkers,177.1,0.381,0.361,1996ø
Graafseweg 108,Zonder Titel / Iets Van April,Gerard Van Maasakkers,204.1,0.381,0.361,1991ø
Ga Maar Alvast,Zonder Titel / Iets Van April,Gerard Van Maasakkers,161.7,0.381,0.361,1991ø
Ergens a/d Maas,Boot 7,Gerard Van Maasakkers,243.9,0.381,0.361,1996ø
De Wasserette,Zonder Titel / Iets Van April,Gerard Van Maasakkers,303.0,0.381,0.361,1991ø
De Kraaien,Zonder Titel / Iets Van April,Gerard Van Maasakkers,153.9,0.381,0.361,1991ø
De Foto,Zonder Titel / Iets Van April,Gerard Van Maasakkers,211.4,0.381,0.361,1994ø
Dag Jozefien,Boot 7,Gerard Van Maasakkers,197.7,0.381,0.361,1996ø
Brugwachter In Manhattan,Zonder Titel / Iets Van April,Gerard Van Maasakkers,190.4,0.381,0.361,1994ø
Bange Blanke Man,Zonder Titel / Iets Van April,Gerard Van Maasakkers,159.8,0.381,0.361,1994ø
