Zedam,TOLERANCA,Gibonni,301.1,0.527,0.396,2010ø
Zamoli me (Mozda ti je ispod casti),TOLERANCA,Gibonni,241.2,0.527,0.396,2010ø
ZA LJUBAV IZGORIT',MIRAKUL,Gibonni,282.0,0.527,0.396,2001ø
VRIME DA SE POMIRIM SA SVITOM (ACOUSTIC),UNCA FIBRE,Gibonni,319.2,0.527,0.396,2006ø
Vrata do nas,TOLERANCA,Gibonni,271.0,0.527,0.396,2010ø
Vesla na vodi,TOLERANCA,Gibonni,271.8,0.527,0.396,2010ø
U LJUBAV VJERE NEMAM,ACOUSTIC ELECTRIC,Gibonni,285.5,0.527,0.396,2006ø
Toleranca (Drugo citanje),TOLERANCA,Gibonni,152.7,0.527,0.396,2010ø
TEMPERA,ACOUSTIC ELECTRIC,Gibonni,323.7,0.527,0.396,2007ø
TAJNA VJE`TINA,MIRAKUL,Gibonni,323.0,0.527,0.396,2001ø
SVI MOJI PUNTI KAD SE ZBROJE,MIRAKUL,Gibonni,311.5,0.527,0.396,2001ø
Slavim ove dane sto si tu,TOLERANCA,Gibonni,293.1,0.527,0.396,2010ø
SEBI DOVOLJNA,UNCA FIBRE,Gibonni,259.3,0.527,0.396,2006ø
Projdi vilo,Gibonni - Judi_ zvirji i bestimje,Gibonni,259.7,0.527,0.396,2006ø
OPROSTI,MIRAKUL,Gibonni,286.4,0.527,0.396,2001ø
Opet si bogu drag,TOLERANCA,Gibonni,193.9,0.527,0.396,2010ø
ONO NE`TO,MIRAKUL,Gibonni,55.5,0.527,0.396,2001ø
MIRAKUL,ACOUSTIC ELECTRIC,Gibonni,327.1,0.527,0.396,2001ø
Mala vesla,TOLERANCA,Gibonni,123.1,0.527,0.396,2010ø
LIBAR OD MOJEGA DUGA,MIRAKUL,Gibonni,262.5,0.527,0.396,2001ø
LIBAR,MIRAKUL,Gibonni,328.8,0.527,0.396,2001ø
KAO CASNA RIJEC,MIRAKUL,Gibonni,302.6,0.527,0.396,2001ø
KAD MI NEBO BUDE DOM,MIRAKUL,Gibonni,256.5,0.527,0.396,2001ø
HODAJ,UNCA FIBRE,Gibonni,314.9,0.527,0.396,2006ø
Cemu se nadas_ srce moje,TOLERANCA,Gibonni,271.8,0.527,0.396,2010ø
