Viramundo,O Viramundo,Gilberto Gil,433.3,0.707,0.438,1967ø
Vendedor De Caranguejo  -  Chemical Mix,Quanta,Gilberto Gil,317.9,0.707,0.438,1997ø
Vendedor De Caranguejo  -  Cemichemichango Mix,Quanta,Gilberto Gil,376.1,0.707,0.438,1997ø
Toda Menina Baiana,THE BEAT OF BRAZIL VOL. 2,Gilberto Gil,349.5,0.707,0.438,1979ø
Oriente,A Arte De Gilberto Gil,Gilberto Gil,360.1,0.707,0.438,1972ø
Marcha Da Tietagem,Luar,Gilberto Gil,216.3,0.707,0.438,1981ø
Funk-Se Quem Puder,Extra,Gilberto Gil,191.4,0.707,0.438,1983ø
Festa Do Cometa,Quilombo,Gilberto Gil,215.0,0.707,0.438,2003ø
Expresso 2222,CD BandaDois - Gilberto Gil,Gilberto Gil,253.1,0.707,0.438,1972ø
Cidade Do Salvador,Cidade Do Salvador,Gilberto Gil,461.7,0.707,0.438,1974ø
Banda Um,CD BandaDois - Gilberto Gil,Gilberto Gil,311.5,0.707,0.438,1982ø
Back In Bahia,A Arte De Gilberto Gil,Gilberto Gil,270.1,0.707,0.438,1972ø
Assum Preto,Eu_ Tu_ Eles,Gilberto Gil,199.6,0.707,0.438,2000ø
Aquele abraco,Aquele abraco,Gilberto Gil,275.7,0.707,0.438,2003ø
