Vorrei,Giorgia/Incl. Extra Track,Giorgia,271.5,0.606,0.47,1994ø
Voglio Solo Te,Girasole,Giorgia,258.7,0.606,0.47,1999ø
Uomo Nero,Giorgia/Incl. Extra Track,Giorgia,257.5,0.606,0.47,1994ø
Un Amore Da Favola,Mangio Troppa Cioccolata,Giorgia,214.2,0.606,0.47,1997ø
Tuttinpiedi,Giorgia/Incl. Extra Track,Giorgia,242.2,0.606,0.47,1994ø
Tradirefare,Greatest Hits (Le Cose Non Vanno Mai come Credi),Giorgia,261.5,0.606,0.47,1999ø
Strano Il Mio Destino,Greatest Hits (Le Cose Non Vanno Mai come Credi),Giorgia,255.3,0.606,0.47,1996ø
Stonata,Stonata,Giorgia,216.6,0.606,0.47,2007ø
Solo Amore,Girasole,Giorgia,264.4,0.606,0.47,1999ø
Silenzioso Amore,Giorgia/Incl. Extra Track,Giorgia,229.3,0.606,0.47,1994ø
Senza Segreti,Giorgia/Incl. Extra Track,Giorgia,222.8,0.606,0.47,1994ø
Se Ci Sei,Girasole,Giorgia,226.7,0.606,0.47,1999ø
Questo Amore,Come Thelma E Louise,Giorgia,236.4,0.606,0.47,1995ø
Prima Di Domani,Senza Ali,Giorgia,333.0,0.606,0.47,2001ø
Parlo Con Te,Stonata,Giorgia,170.9,0.606,0.47,2007ø
Nasceremo,Giorgia/Incl. Extra Track,Giorgia,313.3,0.606,0.47,1994ø
M'Hanno Bocciato,Giorgia/Incl. Extra Track,Giorgia,251.1,0.606,0.47,1994ø
Libertango Interludio,Stonata,Giorgia,104.7,0.606,0.47,2007ø
Invisibile Traccia,Stonata,Giorgia,196.6,0.606,0.47,2007ø
Gocce di memoria,Lucchetti Ponte Milvio - The Bridge of Love Songs,Giorgia,252.4,0.606,0.47,2003ø
Girasole Acoustica,Senza Ali,Giorgia,237.9,0.606,0.47,2001ø
E Poi,"Giorgia live alla ""Casa del Jazz",Giorgia,483.9,0.606,0.47,1994ø
Dicembre,Girasole,Giorgia,244.6,0.606,0.47,1999ø
Di Che Segno Sei,Come Thelma E Louise,Giorgia,265.9,0.606,0.47,1995ø
Chiaraluce,Stonata,Giorgia,227.5,0.606,0.47,2007ø
Canzone Degli Innamorati,Senza Ali,Giorgia,251.8,0.606,0.47,2001ø
