Too Much The Same,Even Closer,Goapele,237.6,0.689,0.489,2004ø
Thing's Don't Exist,Even Closer,Goapele,272.5,0.689,0.489,2004ø
Salvation,Even Closer,Goapele,223.3,0.689,0.489,2004ø
Romantic,Even Closer,Goapele,337.8,0.689,0.489,2004ø
Red_ White & Blues,Even Closer,Goapele,341.4,0.689,0.489,2004ø
It Takes More,Even Closer,Goapele,238.7,0.689,0.489,2004ø
Got It,Even Closer,Goapele,197.2,0.689,0.489,2004ø
Closer,Closer Remixes Pt 2,Goapele,129.5,0.689,0.489,2003ø
Childhood Drama,Even Closer,Goapele,395.9,0.689,0.489,2004ø
Catch 22,Even Closer,Goapele,250.0,0.689,0.489,2004ø
Butterflykisses,Even Closer,Goapele,200.3,0.689,0.489,2004ø
Back To You,Even Closer,Goapele,256.8,0.689,0.489,2004ø
