Walls of Shit,Remember&,Grimple,125.3,0.459,0.36,2002ø
Vivisick,Remember&,Grimple,97.6,0.459,0.36,2002ø
Violent Fuk,Remember&,Grimple,65.5,0.459,0.36,2002ø
Problem,Remember&,Grimple,60.1,0.459,0.36,2002ø
Please Come In,Remember&,Grimple,144.1,0.459,0.36,2002ø
One More,Remember&,Grimple,82.8,0.459,0.36,2002ø
I'm Not Gonna Stop,Remember&,Grimple,78.1,0.459,0.36,2002ø
Guess Who,Remember&,Grimple,102.8,0.459,0.36,2002ø
Get a Grip,Remember&,Grimple,73.3,0.459,0.36,2002ø
Energy,Remember&,Grimple,66.1,0.459,0.36,2002ø
Could've Been,Remember&,Grimple,55.6,0.459,0.36,2002ø
But If You Weren't Here,Remember&,Grimple,115.0,0.459,0.36,2002ø
Bushanomics,Remember&,Grimple,73.4,0.459,0.36,2002ø
All Grown Up,Remember&,Grimple,57.1,0.459,0.36,2002ø
