When You Cry,Country Hits Vol. 4,Hank Penny,160.1,0.446,0.348,2005ø
Talkin' 'Bout You,Country Hits Vol. 5,Hank Penny,153.2,0.446,0.348,2005ø
Steel Guiter Stomp,Country Hits Vol. 5,Hank Penny,170.5,0.446,0.348,2008ø
Steel Guitar Stomp,The Wild Side Of Life,Hank Penny,167.4,0.446,0.348,2005ø
Penny Blows His Top,Texas Swing - Country,Hank Penny,177.1,0.446,0.348,2005ø
Now Ain't You Glad Dear,Country Hits Vol. 5,Hank Penny,166.8,0.446,0.348,2005ø
I'm Counting The Days,Country Hits Vol. 5,Hank Penny,157.9,0.446,0.348,2005ø
Hillbilly Jump,Country Hits Vol. 7,Hank Penny,154.6,0.446,0.348,2005ø
Hadacillin Boogie,Bloodshot Eyes,Hank Penny,139.6,0.446,0.348,2004ø
Get Yourself A Red Head,Country Hits Vol. 6,Hank Penny,161.3,0.446,0.348,2005ø
Flamin' Mamie,Country_ Honky Tonk and Hillbilly Classic,Hank Penny,159.0,0.446,0.348,2005ø
Bloodshot Eyes,Bloodshot Eyes,Hank Penny,156.6,0.446,0.348,2005ø
Big Fat Papa,Country Hits Vol. 7,Hank Penny,176.0,0.446,0.348,2005ø
